,date,fare,distance,duration,number of ride
0,2016-05-24,227.45999999999998,65064,9252,11
1,2016-06-10,384.3999999999999,97985,15640,19
2,2016-06-05,80.20000000000002,13661,2913,6
3,2016-05-31,118.02,21455,4635,7
4,2016-04-11,56.230000000000004,18755,2213,3
5,2016-05-11,143.95,45303,6405,4
6,2016-06-12,171.53,76208,7232,6
7,2016-05-12,60.63,26248,2389,3
8,2016-06-17,71.06,30195,3101,2
9,2016-05-19,224.54000000000002,48297,9218,11
10,2016-06-01,224.98000000000002,110120,9192,9
11,2016-05-15,151.47,67953,6049,7
12,2016-05-29,187.34,59548,7393,10
13,2016-05-22,156.97,31213,6206,9
14,2016-06-18,172.01,70604,7101,7
15,2016-04-28,99.61,31891,3796,6
16,2016-06-15,271.07,56191,10807,15
17,2016-04-15,132.94,43496,5452,6
18,2016-05-23,71.78999999999999,16200,2847,4
19,2016-06-13,207.63999999999996,52615,8306,11
20,2016-05-17,34.44,30444,1384,1
21,2016-05-26,280.86,71983,11793,12
22,2016-04-22,175.1,76086,7028,8
23,2016-05-27,243.02999999999997,87086,10102,10
24,2016-05-20,172.97,40878,6972,9
25,2016-04-20,126.13,32125,4786,8
26,2016-04-05,35.21,12833,1354,2
27,2016-04-01,114.03000000000002,27791,4577,6
28,2016-06-19,134.57,41528,5551,6
29,2016-06-16,269.0,142825,11255,9
30,2016-06-23,244.18,93020,10707,7
31,2016-04-23,104.97,24471,4128,6
32,2016-06-07,43.39,9284,1806,2
33,2016-04-18,129.70999999999998,27481,5398,6
34,2016-04-12,145.07999999999998,55866,6193,5
35,2016-04-09,121.98999999999998,23946,4824,7
36,2016-04-25,190.65000000000003,80049,7811,8
37,2016-06-21,128.1,64607,5244,5
38,2016-06-09,72.06,24806,2800,4
39,2016-06-06,127.04,43192,5146,6
40,2016-05-28,50.14,21098,2074,2
41,2016-06-22,117.34,27645,4751,6
42,2016-04-29,30.0,5886,1132,2
43,2016-06-02,129.95,44011,5292,6
44,2016-05-13,188.23,61790,8010,7
45,2016-04-14,129.62,34669,5341,6
46,2016-06-03,181.57999999999998,96710,7414,7
47,2016-06-04,194.92999999999998,69894,8107,8
48,2016-04-08,60.35,27074,2564,2
49,2016-06-14,104.78,24795,4116,6
50,2016-05-18,144.34,39369,6076,6
51,2016-05-25,68.45,20006,2842,3
52,2016-05-14,48.31999999999999,12621,1844,3
53,2016-04-26,51.55,16256,2378,1
54,2016-04-13,125.86,48604,5046,6
55,2016-04-07,9.41,1453,285,1
56,2016-04-19,12.98,2907,461,1
57,2016-05-02,130.77,29033,5638,5
58,2016-06-08,164.35000000000002,108304,6628,6
59,2016-06-20,58.61,18068,2342,3
60,2016-04-06,127.31,32640,5431,5
61,2016-04-02,40.39,9681,1647,2
62,2016-05-04,96.53,41070,3961,4
63,2016-05-21,58.14,16961,2521,2
64,2016-06-11,17.24,4336,673,1
65,2016-05-05,25.86,8896,1090,1
66,2016-05-06,12.45,2547,436,1
67,2016-04-27,22.77,11830,908,1
