,date,fare,distance,duration,number of ride
0,2016-05-03,95.00999999999999,56575,4162,2
1,2016-05-06,53.32,42271,2285,1
2,2016-06-06,68.53,41161,2695,3
3,2016-05-10,92.9,47606,4116,2
4,2016-05-01,69.62,12290,2567,5
5,2016-05-20,62.8,13946,2786,2
6,2016-06-07,161.53,84734,6845,5
7,2016-05-13,60.3,24563,2775,1
8,2016-05-11,108.57,66504,4603,3
9,2016-06-24,66.63,21944,3124,1
10,2016-05-17,42.39,22970,1852,1
11,2016-05-05,50.67,22631,2091,2
12,2016-05-25,48.29,28841,2118,1
13,2016-05-16,67.32,27494,2925,2
14,2016-06-21,48.239999999999995,21540,1972,2
15,2016-06-26,82.07000000000001,28662,3686,2
16,2016-06-23,32.22,5110,1449,1
17,2016-06-09,91.15,31404,3945,3
18,2016-06-14,93.03,26446,4274,2
19,2016-06-15,92.37,75628,4084,1
20,2016-05-02,41.01,10827,1867,1
21,2016-05-22,65.94,39985,2764,2
22,2016-05-12,107.16,87849,4573,2
