,date,fare,distance,duration,number of ride
0,2016-06-02,87.16000000000001,24549,3199,6
1,2016-04-25,290.78999999999996,93011,11962,13
2,2016-05-14,438.25000000000006,124685,17866,21
3,2016-04-21,157.81,39927,5992,10
4,2016-05-21,302.78999999999996,96086,12960,11
5,2016-05-11,290.09000000000003,143026,12354,9
6,2016-04-29,242.03,71011,9969,11
7,2016-05-04,282.08000000000004,61745,12125,11
8,2016-05-12,273.93,120298,11478,10
9,2016-05-13,174.08999999999997,111223,7312,5
10,2016-05-06,332.59000000000003,152463,14504,9
11,2016-04-20,325.06,114631,13403,14
12,2016-04-18,160.17,27790,6202,10
13,2016-05-28,176.52999999999997,66062,7174,8
14,2016-04-28,304.0,106422,12363,14
15,2016-05-15,126.88999999999999,27712,5248,6
16,2016-04-22,166.67000000000002,44365,6618,9
17,2016-04-30,96.65,25295,3884,5
18,2016-05-02,251.89000000000001,113049,10771,8
19,2016-05-10,208.94000000000003,43404,8216,12
20,2016-04-27,112.39,44916,4370,6
21,2016-04-19,323.54,124242,13451,13
22,2016-04-26,105.46,26785,3725,8
23,2016-05-20,317.09000000000003,165185,13800,8
24,2016-05-03,171.84,71061,7260,6
25,2016-05-23,35.64,9163,1403,2
26,2016-04-23,209.48999999999995,84673,8174,11
27,2016-05-01,36.980000000000004,7347,1290,3
28,2016-05-27,151.19,95763,6031,6
29,2016-05-05,121.06000000000002,54702,5143,4
30,2016-06-03,95.14,35708,3927,4
31,2016-05-19,221.92999999999998,96792,9323,8
32,2016-05-08,86.48,15756,3225,6
33,2016-05-22,31.770000000000003,6279,1221,2
