,date,fare,distance,duration,number of ride
0,2016-05-30,193.94000000000003,60559,8122,8
1,2016-05-29,137.04,29715,5764,6
2,2016-05-15,153.66000000000003,47358,6289,7
3,2016-05-06,104.88,23551,4326,5
4,2016-06-10,220.69000000000003,62667,8719,12
5,2016-04-29,140.13,33425,5703,7
6,2016-06-23,274.64,70492,11478,12
7,2016-04-30,356.3399999999999,118108,14620,16
8,2016-04-24,156.6,60341,6370,7
9,2016-05-18,104.06,47037,4115,5
10,2016-05-28,203.39000000000001,66517,8181,10
11,2016-06-26,151.8,52329,6177,7
12,2016-04-21,186.94,38072,7525,10
13,2016-06-06,153.62000000000003,29246,6241,8
14,2016-04-23,195.29000000000002,54670,8038,9
15,2016-06-11,112.67999999999998,21968,4549,6
16,2016-06-18,286.54,61107,12167,12
17,2016-05-07,160.64,57128,6409,8
18,2016-06-03,130.04,43753,5103,7
19,2016-06-02,26.810000000000002,5641,967,2
20,2016-05-20,194.02,54231,7975,9
21,2016-04-27,72.66,18333,3073,3
22,2016-05-03,161.37,59080,6628,7
23,2016-05-13,133.19,25521,5593,6
24,2016-05-14,71.55,36991,2882,3
25,2016-05-05,176.8,43861,7151,9
26,2016-05-19,182.88,30854,7363,10
27,2016-06-25,54.44,11644,2366,2
28,2016-06-08,115.76,19918,4724,6
29,2016-06-12,8.46,1245,237,1
30,2016-06-19,45.86,18875,1867,2
31,2016-06-16,45.98,19101,2067,1
