,date,fare,distance,duration,number of ride
0,2016-06-15,230.12,51832,9288,12
1,2016-05-24,176.39,53502,7647,6
2,2016-06-20,214.05999999999995,43969,8507,12
3,2016-06-01,42.29,9840,1745,2
4,2016-06-17,222.13000000000002,77001,9279,9
5,2016-04-06,219.29,41534,9384,9
6,2016-06-14,248.98000000000002,36947,10379,12
7,2016-05-22,439.33000000000004,198543,16810,24
8,2016-06-05,375.18000000000006,109389,15664,16
9,2016-06-03,532.43,178615,25015,9
10,2016-04-01,255.06,44183,10840,11
11,2016-04-10,265.63,49884,10569,15
12,2016-06-22,171.57999999999998,44913,7066,8
13,2016-05-16,181.36,42204,7401,9
14,2016-05-05,255.76999999999998,48836,11431,8
15,2016-06-10,105.46,28629,4124,6
16,2016-06-06,218.64000000000001,64155,8602,12
17,2016-04-03,208.24,43463,8402,11
18,2016-05-23,139.58,44391,5792,6
19,2016-04-11,189.79999999999998,42420,7839,9
20,2016-05-27,78.7,29132,3116,4
21,2016-05-09,81.42,31319,3438,3
22,2016-05-08,173.56,34586,7048,9
23,2016-06-11,88.98,15828,3551,5
24,2016-06-09,59.400000000000006,45254,2385,2
25,2016-05-17,116.35999999999999,33126,4857,5
26,2016-04-08,61.42,21696,2463,3
27,2016-05-06,60.92999999999999,21502,2439,3
