,date,fare,distance,duration,number of ride
0,2016-06-17,473.93,158895,19289,22
1,2016-06-14,209.80999999999997,37894,8328,12
2,2016-04-07,222.01999999999998,37018,8776,13
3,2016-05-02,113.08,19882,4780,5
4,2016-06-21,376.01,152910,15594,15
5,2016-04-05,68.19,12358,2687,4
6,2016-05-31,59.58,33704,2477,2
7,2016-04-11,210.41000000000003,64286,8563,10
8,2016-03-31,168.31,33277,6783,9
9,2016-04-14,283.81,77440,11516,14
10,2016-06-22,247.24,60429,9728,14
11,2016-06-23,328.09,82532,12615,20
12,2016-04-12,295.2900000000001,75854,11735,16
13,2016-04-26,146.11,82211,6254,4
14,2016-04-22,181.98999999999998,44029,7420,9
15,2016-05-04,111.56,24001,4475,6
16,2016-04-06,436.71000000000004,181487,17969,18
17,2016-04-02,40.56,7122,1674,2
18,2016-05-03,181.51000000000002,36936,7250,10
19,2016-05-05,123.31,39230,5176,5
20,2016-04-25,193.59,40435,7464,12
21,2016-06-20,96.33999999999999,29389,4034,4
22,2016-04-04,223.2,43095,8795,13
23,2016-06-15,238.23999999999998,92101,9425,12
24,2016-06-16,368.4600000000001,134629,15330,15
25,2016-04-01,203.26000000000002,54858,8061,11
26,2016-04-15,274.82000000000005,71385,11481,12
27,2016-04-19,102.91999999999999,40975,4099,5
28,2016-06-26,147.67000000000002,32310,5713,9
29,2016-04-03,101.56,22086,4163,5
30,2016-04-18,41.41,10360,1695,2
31,2016-04-21,220.84,57779,8958,11
32,2016-04-27,129.59,27186,5394,6
33,2016-06-03,33.07,5963,1487,1
34,2016-06-19,115.19,21951,4288,8
35,2016-06-02,56.26,12046,2458,2
36,2016-04-20,20.689999999999998,2218,672,2
37,2016-05-23,34.77,9627,1550,1
38,2016-04-16,114.58999999999999,19787,4468,7
39,2016-06-18,50.97,13634,1975,3
40,2016-04-08,203.35,40102,8758,8
41,2016-04-29,88.62,12938,3749,4
42,2016-06-08,68.5,11882,2902,3
43,2016-06-24,48.94,24010,1795,3
44,2016-04-13,44.050000000000004,14590,1607,3
45,2016-06-01,47.57,8205,2032,2
46,2016-05-24,50.51,9306,1982,3
