,date,fare,distance,duration,number of ride
0,2016-06-02,197.63000000000002,43379,7459,13
1,2016-06-10,226.32,59212,9038,12
2,2016-06-07,202.38,61387,7969,11
3,2016-04-21,212.27999999999997,50014,8524,11
4,2016-05-12,197.85999999999999,39279,8282,9
5,2016-06-12,57.279999999999994,11155,2322,3
6,2016-05-27,258.04999999999995,54276,9749,17
7,2016-05-06,239.51999999999998,87064,9724,11
8,2016-06-09,139.73000000000002,29791,5512,8
9,2016-05-13,112.13000000000001,24550,4110,8
10,2016-05-14,58.650000000000006,47396,2331,2
11,2016-06-24,291.81000000000006,90830,12229,12
12,2016-04-30,29.93,6191,1126,2
13,2016-04-29,215.42,60127,8462,12
14,2016-06-21,272.92,62173,10862,15
15,2016-05-05,180.20000000000002,72384,7320,8
16,2016-06-23,151.17000000000002,34117,5882,9
17,2016-05-15,153.45,61168,6395,6
18,2016-05-30,78.99,37066,3074,4
19,2016-05-31,213.48000000000002,88849,8548,10
20,2016-05-10,169.88,70393,6992,7
21,2016-04-28,187.53,52049,7456,10
22,2016-06-14,199.88,97636,7971,9
23,2016-06-03,122.26999999999998,29265,4997,6
24,2016-06-01,14.85,5641,539,1
25,2016-05-08,63.59,30708,2512,3
26,2016-05-01,80.0,28708,3187,4
27,2016-06-11,74.49,27613,2907,4
28,2016-06-16,226.93,61483,9249,11
29,2016-06-25,62.93,27340,2697,2
30,2016-06-22,8.86,1613,255,1
31,2016-06-04,12.8,6180,428,1
32,2016-05-28,20.83,12608,801,1
33,2016-05-11,15.89,5556,594,1
34,2016-05-07,60.56,31168,2350,3
35,2016-05-02,7.95,980,212,1
36,2016-05-29,12.92,2285,462,1
