,date,fare,distance,duration,number of ride
0,2016-05-24,129.59,32062,5554,5
1,2016-05-04,79.69999999999999,17281,3057,5
2,2016-06-05,70.06,44462,2751,3
3,2016-06-01,99.17,21066,4241,4
4,2016-05-19,122.32,34705,4569,8
5,2016-05-29,205.86,92147,8323,9
6,2016-05-30,98.22,48696,3799,5
7,2016-06-22,51.309999999999995,22371,2126,2
8,2016-06-04,193.34999999999997,58482,7909,9
9,2016-05-26,81.44,18857,3332,4
10,2016-05-25,72.01,15032,2867,4
11,2016-05-21,123.77000000000001,33176,4851,7
12,2016-05-16,252.47,88495,9412,16
13,2016-05-31,26.52,7176,1137,1
14,2016-05-20,83.01999999999998,29276,3340,4
15,2016-06-10,103.13000000000001,33002,4167,5
16,2016-05-11,129.73000000000002,46414,4873,8
17,2016-05-07,70.74,14291,2415,6
18,2016-06-08,57.800000000000004,12047,2343,3
19,2016-06-19,145.42,59881,5595,8
20,2016-06-26,138.49,38571,5972,5
21,2016-06-09,69.00999999999999,16341,2506,5
22,2016-06-02,111.44,54164,4841,3
23,2016-06-17,50.43,25326,2059,2
24,2016-06-12,204.66,76699,8762,7
25,2016-05-10,112.27000000000001,29018,4477,6
26,2016-05-14,146.63,66823,5413,9
27,2016-06-07,58.669999999999995,24137,2302,3
28,2016-06-18,148.32,46707,6036,7
29,2016-05-28,105.78999999999999,37807,4075,6
30,2016-05-23,62.67,19708,2151,5
31,2016-05-12,127.50999999999999,46459,5343,5
32,2016-06-11,67.57,25062,2564,4
33,2016-05-09,103.11000000000001,32653,3973,6
34,2016-05-17,147.14,35000,6253,6
35,2016-05-06,68.22,25116,2793,3
36,2016-06-03,118.71000000000001,53844,4440,7
37,2016-06-23,61.91,29443,2433,3
38,2016-05-15,160.74,56614,6417,8
39,2016-06-21,77.60000000000001,15322,3157,4
40,2016-05-08,133.76,52360,5432,6
41,2016-06-06,66.67,24687,2715,3
42,2016-06-25,165.59,49557,6721,8
43,2016-05-13,95.60000000000001,38705,4125,3
44,2016-05-05,37.23,3260,1295,3
