,date,fare,distance,duration,number of ride
0,2016-06-19,369.28,146321,14701,18
1,2016-06-15,298.67,68984,11960,16
2,2016-05-19,350.82,94689,15084,13
3,2016-06-10,192.68,39141,7426,12
4,2016-06-17,355.25,110547,14616,16
5,2016-06-14,313.51,99342,12322,17
6,2016-06-05,229.54000000000002,66082,8374,16
7,2016-05-29,194.42999999999995,72415,7670,10
8,2016-06-13,397.68000000000006,86254,15604,23
9,2016-06-18,173.54,32119,6673,11
10,2016-05-25,227.60000000000002,42138,9031,13
11,2016-05-18,163.29999999999998,37831,6489,9
12,2016-06-21,239.36,45991,9617,13
13,2016-06-02,289.74,95716,11650,14
14,2016-05-23,301.71999999999997,62033,11973,17
15,2016-05-20,341.84,87096,13888,17
16,2016-06-06,266.83,50289,10183,17
17,2016-05-28,274.18,113515,11147,12
18,2016-06-09,303.18999999999994,82259,12453,14
19,2016-05-16,173.91,35989,6861,10
20,2016-06-04,232.47999999999996,94377,9108,12
21,2016-05-21,189.23,47099,7580,10
22,2016-05-26,332.99000000000007,92489,13974,14
23,2016-06-01,179.17000000000002,40711,6710,12
24,2016-06-07,214.54999999999998,35390,8345,13
25,2016-06-20,232.30000000000004,65587,9500,11
26,2016-06-23,141.55,25308,5248,10
27,2016-06-22,210.06999999999996,44284,8296,12
28,2016-05-27,361.19000000000005,122224,14451,18
29,2016-05-22,234.53999999999996,59205,9076,14
30,2016-05-15,423.86,118594,17356,20
31,2016-05-17,119.93,26382,4699,7
32,2016-05-12,129.79,22464,5242,7
33,2016-05-14,389.39,124571,15515,20
34,2016-06-25,294.02,110086,11816,14
35,2016-06-16,175.67,35582,7150,9
36,2016-06-26,305.84000000000003,85902,11822,18
37,2016-06-11,318.35999999999996,73961,12367,19
38,2016-06-08,70.74000000000001,28230,1938,7
39,2016-06-12,267.71,107790,10263,15
40,2016-05-13,122.14000000000001,28138,4802,7
41,2016-06-24,196.17999999999998,98929,7964,8
42,2016-05-24,55.35,8283,2242,3
43,2016-06-03,124.23999999999998,42914,5002,6
