,date,fare,distance,duration,number of ride
0,2016-05-05,124.39999999999998,43785,4613,8
1,2016-05-29,307.29,104835,11959,17
2,2016-05-07,234.21,89908,9818,9
3,2016-05-31,248.36,93736,9942,12
4,2016-05-28,104.85000000000001,28150,3900,7
5,2016-06-15,283.09,51817,11466,15
6,2016-05-14,150.99,37378,6241,7
7,2016-06-04,210.46000000000004,65311,8363,11
8,2016-05-19,105.94,27294,4159,6
9,2016-05-08,159.49,53293,6572,7
10,2016-04-30,280.62999999999994,60854,11468,14
11,2016-05-21,52.43,16929,2223,2
12,2016-06-03,206.52,81127,8630,8
13,2016-05-01,75.45,30743,2935,4
14,2016-06-10,290.43999999999994,77769,11663,15
15,2016-05-16,185.67,37375,7463,10
16,2016-05-11,241.55,59832,10023,11
17,2016-06-05,227.28,103452,9360,9
18,2016-05-12,97.97000000000001,17129,3620,7
19,2016-06-20,135.88,28566,5125,9
20,2016-05-25,85.95,22015,2957,7
21,2016-06-16,177.19,47836,7143,9
22,2016-05-17,176.14000000000001,64925,6966,9
23,2016-06-11,208.48999999999998,47887,8384,11
24,2016-05-02,233.95999999999998,56344,9065,14
25,2016-04-28,208.40999999999997,47972,7988,13
26,2016-04-29,256.14,68901,10525,12
27,2016-04-27,181.19,33894,7450,9
28,2016-06-01,181.84000000000003,40406,7242,10
29,2016-06-08,158.01000000000002,35072,6233,9
30,2016-05-26,124.69,36798,5265,5
31,2016-06-17,169.51999999999998,79786,6711,8
32,2016-06-12,135.88,31916,5436,7
33,2016-05-09,152.24,32403,5951,9
34,2016-05-06,289.61,71219,11863,14
35,2016-06-23,54.06,23646,2065,3
36,2016-06-25,33.69,6176,1127,3
37,2016-06-24,80.51,18579,3285,4
38,2016-06-18,202.59000000000003,42091,7666,13
39,2016-05-30,106.47000000000001,42612,3881,7
40,2016-06-09,206.66000000000003,104072,8280,9
41,2016-05-10,119.07000000000001,31105,4621,7
42,2016-05-04,195.88000000000002,71595,8340,7
43,2016-05-23,110.53,47574,4645,4
44,2016-06-13,81.88,21144,3143,5
45,2016-05-13,325.14,166381,14212,8
46,2016-04-26,324.48,76957,13055,17
47,2016-06-06,146.60999999999999,32375,5853,8
48,2016-06-07,208.64999999999998,42879,8428,11
49,2016-05-15,136.25,38015,5077,9
50,2016-06-19,35.04,19350,1299,2
51,2016-05-27,73.66000000000001,24485,2886,4
52,2016-05-24,137.76,37357,5552,7
53,2016-05-18,101.36,32751,3686,7
54,2016-06-22,135.83,32116,5488,7
55,2016-05-20,157.19,41612,6144,9
56,2016-05-03,86.67,25370,3165,6
57,2016-06-26,85.14000000000001,31705,3433,4
58,2016-06-14,129.85,50013,5009,7
59,2016-05-22,145.05,104297,6237,3
60,2016-06-02,47.879999999999995,11773,2023,2
