,date,fare,distance,duration,number of ride
0,2016-05-15,403.90999999999997,131636,17395,14
1,2016-06-06,202.86999999999998,70631,8907,6
2,2016-05-23,200.6,87838,8274,8
3,2016-05-03,74.74000000000001,13401,3217,3
4,2016-05-25,109.78,25955,4760,4
5,2016-06-25,282.59,63892,11353,15
6,2016-05-02,170.29,71459,7201,6
7,2016-06-03,20.810000000000002,2720,675,2
8,2016-05-21,75.1,25867,2951,4
9,2016-06-16,130.3,20326,5479,6
10,2016-05-05,60.39999999999999,16015,2450,3
11,2016-06-26,245.37999999999997,67226,9975,12
12,2016-05-09,107.02999999999999,53676,4419,4
13,2016-06-22,68.21000000000001,9001,2908,3
14,2016-04-30,225.58999999999995,91218,9164,10
15,2016-05-26,135.65,30684,5489,7
16,2016-06-13,117.46000000000001,49347,4994,4
17,2016-06-04,189.23999999999998,56832,7316,11
18,2016-06-17,88.08000000000001,19625,3477,5
19,2016-05-06,254.85,98511,10441,11
20,2016-06-21,143.19,25599,6114,6
21,2016-06-08,159.12000000000003,47349,6399,8
22,2016-06-11,35.17,10185,1371,2
23,2016-05-20,214.82000000000002,85301,8839,9
24,2016-05-11,120.55000000000001,41074,4822,6
25,2016-06-01,175.82999999999998,44962,7092,9
26,2016-05-12,74.85,25697,3135,3
27,2016-06-18,29.16,8259,1071,2
28,2016-06-10,45.93,11139,1730,3
29,2016-05-18,168.95000000000002,73078,7315,5
30,2016-05-27,13.22,1989,480,1
31,2016-05-04,56.260000000000005,11940,2459,2
32,2016-06-02,106.45,41260,4477,4
