,date,fare,distance,duration,number of ride
0,2016-05-19,164.99,30307,7022,7
1,2016-06-24,128.55,21462,5380,6
2,2016-06-22,128.26,37342,5447,5
3,2016-06-02,75.41,9141,3282,3
4,2016-05-29,10.98,2287,361,1
5,2016-05-28,65.54,15296,2528,4
6,2016-05-20,37.879999999999995,7333,1533,2
7,2016-06-10,21.81,6621,895,1
8,2016-06-25,109.01,20640,4562,5
9,2016-05-15,110.18,17835,4839,4
10,2016-05-07,92.52000000000001,17318,3921,4
11,2016-06-19,9.89,1295,311,1
12,2016-05-26,123.27000000000001,36664,5387,4
13,2016-05-22,14.22,2728,527,1
14,2016-06-05,17.62,2756,704,1
15,2016-05-27,37.589999999999996,12193,1483,2
16,2016-05-24,23.75,5691,1003,1
