,date,fare,distance,duration,number of ride
0,2016-05-15,106.74000000000001,41664,4489,4
1,2016-05-22,66.96000000000001,23184,2741,3
2,2016-05-12,42.64,8647,1576,3
3,2016-05-26,92.98,36269,3810,4
4,2016-06-12,121.92,50081,5026,5
5,2016-05-20,165.32000000000002,50188,6702,8
6,2016-05-28,52.650000000000006,20658,2013,3
7,2016-05-24,95.22,48168,4038,3
8,2016-06-03,49.19,8775,1917,3
9,2016-05-27,45.03,24651,1782,2
10,2016-06-11,79.83000000000001,46617,3245,3
11,2016-05-16,9.18,1562,272,1
12,2016-06-10,65.6,34290,2787,2
13,2016-06-04,34.9,11507,1543,1
