,date,fare
0,2016-06-07,168.2
1,2016-04-24,27.89
2,2016-05-21,116.26
3,2016-06-03,82.37
4,2016-05-01,170.55
5,2016-05-31,133.56
6,2016-04-29,109.02
7,2016-06-02,204.30999999999997
8,2016-05-02,141.81
9,2016-05-12,169.85
10,2016-06-11,192.32000000000002
11,2016-05-06,112.14000000000001
12,2016-04-26,236.60999999999999
13,2016-06-15,73.03
14,2016-06-10,90.27
15,2016-05-13,284.77
16,2016-05-15,245.58000000000007
17,2016-05-19,248.3
18,2016-06-08,168.92000000000002
19,2016-05-18,281.20000000000005
20,2016-06-06,50.78
21,2016-04-30,123.24999999999999
22,2016-04-28,84.49000000000001
23,2016-06-16,109.8
24,2016-06-20,173.04
25,2016-05-22,189.38000000000002
26,2016-05-14,143.81
27,2016-05-10,63.75
28,2016-05-05,196.70000000000002
29,2016-06-21,143.06000000000003
30,2016-06-09,144.67000000000002
31,2016-06-12,213.52
32,2016-05-24,190.44
33,2016-06-18,114.57
34,2016-05-16,136.97
35,2016-05-09,142.93
36,2016-06-13,84.39
37,2016-05-11,149.64
38,2016-05-26,236.27
39,2016-05-07,85.89
40,2016-06-23,312.28000000000003
41,2016-06-14,33.83
42,2016-06-25,194.85000000000002
43,2016-05-20,167.66
44,2016-04-20,57.29
45,2016-06-22,227.83
46,2016-05-23,218.87999999999997
47,2016-05-17,96.21999999999998
48,2016-04-25,61.14
49,2016-06-26,79.59
50,2016-05-04,78.36
51,2016-06-04,42.64
52,2016-04-27,105.49000000000001
53,2016-06-24,54.269999999999996
54,2016-04-21,28.5
55,2016-06-01,13.25
56,2016-05-25,52.010000000000005
57,2016-05-08,23.36
58,2016-04-23,12.64
59,2016-06-19,13.6
