,date,fare
0,2016-05-08,219.68
1,2016-05-19,300.57
2,2016-06-21,344.93999999999994
3,2016-05-11,375.92
4,2016-05-03,233.57999999999998
5,2016-06-12,361.25
6,2016-06-17,417.36
7,2016-05-17,224.14000000000001
8,2016-05-30,184.9
9,2016-06-25,391.88999999999993
10,2016-06-18,254.80000000000004
11,2016-05-28,396.13000000000005
12,2016-05-15,291.22
13,2016-06-26,455.58000000000004
14,2016-05-14,263.87
15,2016-05-22,226.21000000000004
16,2016-05-12,254.16
17,2016-05-16,226.35
18,2016-06-02,164.93999999999997
19,2016-05-29,331.9
20,2016-05-24,123.6
21,2016-05-18,303.63
22,2016-06-24,322.61
23,2016-04-20,32.82
24,2016-05-21,255.18
25,2016-06-11,334.31
26,2016-05-27,112.22000000000001
27,2016-06-04,178.35999999999999
28,2016-05-02,203.21
29,2016-06-06,113.32999999999998
30,2016-05-04,265.07
31,2016-05-25,168.94
32,2016-04-30,261.83
33,2016-04-27,194.63
34,2016-05-13,360.85
35,2016-06-07,84.22
36,2016-04-28,195.35999999999999
37,2016-05-10,112.52000000000001
38,2016-05-23,233.61999999999998
39,2016-06-05,142.02
40,2016-05-01,125.54
41,2016-05-20,200.13
42,2016-05-05,108.48
43,2016-04-29,309.95
44,2016-06-03,167.93
45,2016-05-09,166.86
46,2016-06-08,205.75
47,2016-06-10,153.28
48,2016-04-26,181.89
49,2016-05-26,105.42
50,2016-04-25,120.16
51,2016-05-31,104.53999999999999
52,2016-06-09,56.93
53,2016-06-23,68.39
54,2016-06-22,40.230000000000004
55,2016-06-01,18.1
