,date,fare
0,2016-04-29,149.38
1,2016-05-31,187.67000000000002
2,2016-05-30,288.67
3,2016-06-14,192.88000000000002
4,2016-06-05,493.70000000000005
5,2016-05-26,256.93
6,2016-06-21,154.01000000000002
7,2016-05-20,315.7699999999999
8,2016-06-06,281.29
9,2016-05-25,184.07
10,2016-05-02,297.88
11,2016-05-17,265.82
12,2016-05-03,225.24
13,2016-05-27,178.67999999999998
14,2016-06-17,187.39
15,2016-05-10,127.04
16,2016-05-16,235.90999999999997
17,2016-06-09,245.07
18,2016-04-26,218.82999999999998
19,2016-05-13,324.1600000000001
20,2016-06-13,303.66999999999996
21,2016-06-15,318.47
22,2016-05-08,217.26
23,2016-06-07,192.14000000000001
24,2016-05-06,211.07
25,2016-06-22,258.15999999999997
26,2016-05-24,134.76
27,2016-06-16,278.66
28,2016-04-28,285.14000000000004
29,2016-06-20,178.15
30,2016-04-27,146.09
31,2016-05-11,178.63000000000002
32,2016-05-04,251.25
33,2016-06-01,93.6
34,2016-06-08,246.64999999999998
35,2016-05-19,138.56
36,2016-05-18,224.12
37,2016-06-24,256.13
38,2016-05-09,99.99
39,2016-06-10,82.72999999999999
40,2016-05-23,200.06
41,2016-05-12,111.88000000000001
