,date,fare,distance,duration,number of ride
0,2016-05-07,26.18,7998,918,2
1,2016-04-30,135.36,57073,5286,7
2,2016-04-24,21.26,8376,854,1
3,2016-05-01,162.83,55587,6338,9
4,2016-05-16,180.92000000000002,70890,6976,10
5,2016-04-22,27.69,7601,999,2
6,2016-05-15,203.01000000000005,113886,7628,11
7,2016-05-14,71.5,25020,2769,4
8,2016-04-19,49.269999999999996,10772,1907,3
9,2016-04-27,99.38,42557,3903,5
10,2016-04-28,35.93,13344,1388,2
11,2016-05-06,85.54,54870,3484,3
12,2016-04-18,61.18,33680,2365,3
13,2016-04-20,35.85,9419,1412,2
