,date,fare,distance,duration,number of ride
0,2016-05-17,81.76,19126,3151,5
1,2016-05-06,121.00999999999999,36168,5077,5
2,2016-05-07,144.44,48768,6210,5
3,2016-05-09,77.49,38655,3180,3
4,2016-05-20,84.73,17112,3516,4
5,2016-05-19,70.62,14913,2991,3
6,2016-05-04,189.93,79758,7971,7
7,2016-05-24,65.97999999999999,13708,2562,4
8,2016-05-14,110.17000000000002,24165,4793,4
9,2016-05-03,63.870000000000005,24573,2374,4
10,2016-05-26,86.18,15034,3215,6
11,2016-05-11,63.730000000000004,11688,2459,4
12,2016-05-13,164.05,51821,6624,8
13,2016-05-31,69.57,19492,2904,3
14,2016-05-16,70.31,22592,2920,3
15,2016-05-10,106.88,24128,4426,5
16,2016-05-18,103.28,19144,4274,5
17,2016-05-25,50.629999999999995,33748,2010,2
