,date,fare,distance,duration,number of ride
0,2016-05-22,107.55,49575,4475,4
1,2016-06-24,196.73000000000002,62698,8057,9
2,2016-04-22,154.41,54417,6494,6
3,2016-05-06,209.06,39307,8476,11
4,2016-06-23,164.01999999999998,30014,6582,9
5,2016-05-19,124.53999999999999,18928,5189,6
6,2016-05-05,64.51,13811,2484,4
7,2016-05-14,278.61,53520,10827,17
8,2016-04-26,185.39999999999998,32421,7877,8
9,2016-05-17,209.20999999999998,38647,8488,11
10,2016-05-04,176.49,48712,7100,9
11,2016-05-10,154.79,28200,6115,9
12,2016-05-20,164.62,69732,6917,6
13,2016-04-27,192.15,105783,8292,5
14,2016-04-29,211.48999999999998,60555,9233,7
15,2016-05-13,318.49,86399,13652,12
16,2016-04-20,119.92,19322,5141,5
17,2016-04-17,150.19,35732,6212,7
18,2016-06-25,118.79000000000002,21171,4678,7
19,2016-06-21,146.82,32118,5866,8
20,2016-04-28,138.26999999999998,27326,5015,10
21,2016-05-01,184.73999999999998,45952,7355,10
22,2016-05-12,273.14,47211,10979,15
23,2016-04-19,105.93,20717,4205,6
24,2016-05-08,156.82,74704,6475,6
25,2016-06-09,174.57999999999998,52815,7362,7
26,2016-05-18,140.66,41127,5480,8
27,2016-05-03,130.61,27920,5051,8
28,2016-06-20,190.58999999999997,40980,7499,11
29,2016-04-16,108.3,20939,4328,6
30,2016-04-23,258.66999999999996,65220,10292,14
31,2016-06-22,166.91,55503,6552,9
32,2016-05-07,109.2,23545,4356,6
33,2016-04-30,237.74,53779,9673,12
34,2016-04-21,172.41,33149,6607,11
35,2016-06-11,193.05,100016,8185,6
36,2016-04-25,137.29000000000002,52003,5814,5
37,2016-05-09,204.83000000000004,46983,8004,12
38,2016-06-10,222.85000000000002,53334,9290,10
39,2016-05-16,128.53,23769,5167,7
40,2016-05-21,296.28,82718,12325,13
41,2016-05-02,143.01,74081,5955,5
42,2016-04-24,130.76,26795,5066,8
43,2016-04-18,160.01,31895,6751,7
44,2016-06-12,131.53,87948,5453,4
45,2016-05-15,40.54,8926,1660,2
