,date,fare
0,2016-06-02,218.3
1,2016-06-10,79.38
2,2016-04-16,207.76999999999998
3,2016-06-07,188.67
4,2016-04-11,126.53
5,2016-05-09,187.34
6,2016-05-15,214.78
7,2016-06-14,96.22
8,2016-04-17,166.96
9,2016-06-09,92.61
10,2016-04-23,202.49
11,2016-06-23,104.38999999999999
12,2016-06-16,56.07
13,2016-05-05,142.99
14,2016-04-24,86.17
15,2016-05-01,135.16000000000003
16,2016-05-08,39.62
17,2016-05-17,186.69
18,2016-05-02,164.18999999999997
19,2016-05-24,235.85000000000002
20,2016-04-19,187.29000000000002
21,2016-04-14,124.1
22,2016-04-08,88.72
23,2016-04-20,206.57
24,2016-06-05,98.44
25,2016-05-11,186.96000000000004
26,2016-04-12,77.86
27,2016-06-11,60.83
28,2016-04-18,14.8
29,2016-04-27,145.5
30,2016-04-10,145.51
31,2016-05-16,119.61
32,2016-05-25,159.45
33,2016-05-20,117.12
34,2016-05-04,216.58999999999997
35,2016-04-06,235.07999999999996
36,2016-05-10,39.28
37,2016-04-28,145.39999999999998
38,2016-06-17,12.85
39,2016-05-14,272.84
40,2016-04-07,201.5
41,2016-04-09,63.11
42,2016-04-05,92.21000000000001
43,2016-04-29,65.99
44,2016-05-12,80.63
45,2016-04-26,95.49000000000001
46,2016-04-13,38.11
47,2016-05-21,37.41
48,2016-05-19,120.03999999999999
49,2016-05-26,143.01
50,2016-05-27,91.86
51,2016-05-18,25.59
52,2016-04-21,53.49
53,2016-06-06,54.519999999999996
54,2016-04-22,124.02000000000001
55,2016-05-13,107.44
56,2016-06-20,31.45
57,2016-06-13,58.11
58,2016-06-21,56.35
59,2016-05-23,142.27
60,2016-06-04,36.28
61,2016-05-07,36.5
62,2016-05-22,52.519999999999996
63,2016-06-03,55.03
