,date,fare
0,2016-05-24,230.80999999999997
1,2016-06-07,289.56999999999994
2,2016-06-17,197.57999999999998
3,2016-06-24,110.44
4,2016-06-21,86.53
5,2016-05-17,80.27
6,2016-05-14,130.49
7,2016-06-10,166.2
8,2016-06-01,163.59
9,2016-06-11,178.38
10,2016-06-20,113.78
11,2016-05-28,154.70000000000002
12,2016-06-25,172.48000000000005
13,2016-06-13,205.83999999999997
14,2016-06-16,186.16000000000003
15,2016-05-23,97.73
16,2016-05-26,88.96
17,2016-05-29,84.85
18,2016-05-21,165.63000000000002
19,2016-05-18,143.99
20,2016-05-25,135.51999999999998
21,2016-06-08,105.05000000000001
22,2016-06-23,61.05
23,2016-06-14,136.67
24,2016-05-27,39.84
25,2016-05-30,178.81
26,2016-05-20,145.18
27,2016-06-02,125.81
28,2016-05-16,133.07999999999998
29,2016-06-09,116.46
30,2016-06-22,112.12
31,2016-05-31,153.97
32,2016-06-26,97.77000000000001
33,2016-06-18,38.41
34,2016-06-19,30.15
