,date,fare,distance,duration,number of ride
0,2016-04-19,206.97,71022,7945,12
1,2016-05-02,151.89999999999998,28051,6160,8
2,2016-06-10,118.95000000000002,47214,4891,5
3,2016-04-24,189.89999999999998,48105,7804,9
4,2016-04-21,250.70999999999998,68146,10246,12
5,2016-06-07,119.79,25105,4506,8
6,2016-05-07,187.83,55654,7446,10
7,2016-04-16,15.49,2849,592,1
8,2016-06-25,293.53999999999996,87725,11755,15
9,2016-05-10,268.41999999999996,75085,10730,14
10,2016-06-22,212.57000000000002,48312,8789,10
11,2016-05-06,176.31,61226,7393,7
12,2016-04-15,197.14000000000001,47700,7988,10
13,2016-06-20,106.09,35880,4105,6
14,2016-06-03,119.56,36468,4804,6
15,2016-06-09,154.95999999999998,46972,6381,7
16,2016-05-13,121.79,55863,4782,6
17,2016-05-12,213.60000000000002,33738,9534,7
18,2016-05-03,158.15999999999997,56833,6477,7
19,2016-04-18,124.45,39879,5230,5
20,2016-06-08,299.88,92354,12835,11
21,2016-06-12,463.72999999999996,213093,20131,13
22,2016-04-26,89.0,17694,3735,4
23,2016-06-19,117.16000000000001,36674,4873,5
24,2016-04-23,205.62000000000003,53112,8197,11
25,2016-06-26,47.03,15313,1758,3
26,2016-06-17,180.5,57689,6855,11
27,2016-05-16,102.20000000000002,20012,3820,7
28,2016-04-17,54.84,11229,2194,3
29,2016-06-21,178.54999999999998,59390,7327,8
30,2016-04-27,72.43,12306,2909,4
31,2016-04-29,179.67000000000002,33755,7177,10
32,2016-04-14,124.18,33871,4868,7
33,2016-06-11,407.55,134667,16780,18
34,2016-05-26,259.61,44181,11078,11
35,2016-05-27,190.35999999999996,40291,7297,12
36,2016-05-14,180.82999999999998,101989,7318,7
37,2016-05-09,125.94000000000001,67850,5304,4
38,2016-04-28,262.99,95366,10889,11
39,2016-06-16,45.22,8266,1909,2
40,2016-05-05,158.32,122660,6994,2
41,2016-06-24,182.6,31296,7347,10
42,2016-06-13,170.8,110827,7534,3
43,2016-05-18,163.09,65555,6868,6
44,2016-04-13,41.269999999999996,10225,1493,3
45,2016-05-15,45.36,10558,1900,2
46,2016-04-22,196.92,53443,7740,11
47,2016-06-18,122.6,52403,5241,4
48,2016-06-14,76.53999999999999,52721,3226,2
49,2016-06-04,77.11,11679,2961,5
50,2016-05-08,46.91,8911,1797,3
51,2016-06-23,85.55,16336,3564,4
52,2016-05-28,58.459999999999994,23477,2491,2
53,2016-05-17,71.19,12355,3039,3
54,2016-04-30,33.6,8792,1299,2
55,2016-06-02,15.47,1767,599,1
56,2016-06-06,53.64,11117,2328,2
57,2016-05-30,36.86,15798,1419,2
