,date,fare
0,2016-03-31,329.41
1,2016-05-07,224.34
2,2016-05-23,209.27
3,2016-06-16,207.92000000000002
4,2016-04-14,244.31
5,2016-06-22,217.35
6,2016-06-12,101.18999999999998
7,2016-04-06,362.46000000000004
8,2016-06-23,159.54
9,2016-04-21,166.81
10,2016-06-15,99.99000000000001
11,2016-04-16,144.25
12,2016-04-11,124.55000000000001
13,2016-05-12,231.79
14,2016-04-20,348.10999999999996
15,2016-04-27,277.71
16,2016-05-18,136.96
17,2016-05-31,256.44
18,2016-03-30,229.88999999999993
19,2016-04-22,150.04
20,2016-04-04,183.45
21,2016-04-13,110.12
22,2016-04-05,229.69
23,2016-05-06,273.03
24,2016-05-27,330.71
25,2016-03-29,98.3
26,2016-05-05,105.25
27,2016-06-14,177.47000000000003
28,2016-05-09,77.49
29,2016-05-24,152.51
30,2016-04-01,344.36999999999995
31,2016-04-30,206.09000000000003
32,2016-04-02,104.08
33,2016-05-19,294.57
34,2016-05-28,142.89999999999998
35,2016-06-21,146.16000000000003
36,2016-05-11,275.53000000000003
37,2016-05-26,155.73999999999998
38,2016-04-26,101.98
39,2016-06-07,102.97
40,2016-06-19,26.75
41,2016-06-13,222.17000000000002
42,2016-05-13,193.54000000000002
43,2016-05-16,392.23
44,2016-06-04,165.85000000000002
45,2016-05-21,234.32
46,2016-06-17,144.5
47,2016-04-12,213.64
48,2016-04-07,236.29000000000005
49,2016-04-25,142.85999999999999
50,2016-05-02,201.81000000000003
51,2016-05-14,104.3
52,2016-04-08,212.32000000000002
53,2016-06-20,112.72
54,2016-05-08,68.25
55,2016-05-25,201.64000000000001
56,2016-04-18,258.5
57,2016-04-29,15.57
