,date,fare
0,2016-05-11,73.88
1,2016-06-17,140.14
2,2016-05-10,103.28
3,2016-06-05,61.21000000000001
4,2016-04-01,43.6
5,2016-05-13,90.43
6,2016-04-27,65.03999999999999
7,2016-05-24,48.4
8,2016-05-07,120.89
9,2016-05-15,8.26
10,2016-05-12,66.0
11,2016-06-18,46.03
12,2016-05-20,157.61
13,2016-05-01,86.58
14,2016-06-04,17.64
15,2016-05-06,103.66
16,2016-06-25,101.36
17,2016-06-24,77.68
18,2016-04-28,30.96
19,2016-04-26,65.09
20,2016-06-16,66.16
21,2016-05-16,59.150000000000006
22,2016-05-19,106.07999999999998
23,2016-05-29,41.33
24,2016-05-08,93.69
25,2016-05-28,35.74
26,2016-06-02,61.89
27,2016-06-06,29.4
28,2016-05-14,67.9
29,2016-06-09,69.61
30,2016-06-15,20.48
31,2016-05-03,40.95
32,2016-05-09,23.98
33,2016-05-05,40.67
34,2016-05-25,11.0
35,2016-05-30,10.51
