,date,fare
0,2016-04-27,74.57000000000001
1,2016-05-26,361.35999999999996
2,2016-04-29,123.72
3,2016-05-17,392.12
4,2016-05-25,203.82
5,2016-06-06,67.02
6,2016-06-14,136.14000000000001
7,2016-04-08,68.47
8,2016-06-07,301.57
9,2016-04-12,46.370000000000005
10,2016-05-21,97.51000000000002
11,2016-04-22,36.37
12,2016-06-17,297.51000000000005
13,2016-05-12,98.3
14,2016-05-18,168.42
15,2016-05-24,162.36999999999998
16,2016-04-13,75.5
17,2016-06-16,269.67
18,2016-05-14,151.11
19,2016-05-13,56.41
20,2016-05-03,311.37
21,2016-05-20,347.54999999999995
22,2016-06-03,115.33000000000001
23,2016-05-23,46.1
24,2016-05-04,53.53
25,2016-05-07,83.49000000000001
26,2016-06-08,159.06
27,2016-04-23,180.87
28,2016-05-02,134.83
29,2016-05-06,132.69
30,2016-05-19,74.62
31,2016-05-10,144.2
32,2016-04-11,29.7
33,2016-04-21,64.37
34,2016-04-15,39.47
35,2016-05-05,166.64000000000001
36,2016-04-16,48.42
37,2016-06-02,150.31
38,2016-05-08,195.03999999999996
39,2016-06-19,45.44
40,2016-05-27,292.94
41,2016-06-09,89.89
42,2016-05-09,95.81
43,2016-05-28,8.31
44,2016-04-18,103.4
45,2016-06-15,42.25
46,2016-06-24,44.38
47,2016-05-11,44.98
