,date,fare,distance,duration,number of ride
0,2016-06-22,151.41000000000003,57830,5726,9
1,2016-06-17,64.05,15017,2257,5
2,2016-06-16,132.91,63732,5306,6
3,2016-05-28,18.65,9880,707,1
4,2016-06-01,83.44999999999999,61190,3526,2
5,2016-06-21,35.58,10584,1194,3
6,2016-06-20,82.03,28264,3687,2
7,2016-06-02,37.46,22987,1399,2
8,2016-06-15,13.82,5548,486,1
9,2016-06-07,67.92999999999999,39334,2481,4
10,2016-06-19,11.29,4568,361,1
11,2016-05-27,9.53,1791,289,1
12,2016-05-25,10.43,2065,334,1
13,2016-05-31,19.27,13442,714,1
14,2016-06-03,11.2,2933,368,1
15,2016-05-05,32.29,27460,1293,1
16,2016-06-11,15.7,3268,600,1
