,date,fare,distance,duration,number of ride
0,2016-05-13,82.60999999999999,16346,3606,3
1,2016-05-09,15.92,2529,617,1
2,2016-05-02,52.72,20271,2019,3
3,2016-05-04,136.15,106450,5757,3
4,2016-06-24,39.4,8346,1409,3
5,2016-05-12,69.81,18176,2926,3
6,2016-05-20,41.3,5974,1525,3
7,2016-05-25,60.230000000000004,7439,2307,4
8,2016-05-03,97.35999999999999,27243,3907,5
9,2016-05-26,156.76999999999998,42476,7485,2
10,2016-05-18,44.63,14092,1641,3
11,2016-04-29,116.91000000000001,45157,4799,5
12,2016-05-08,93.48,36714,4029,3
13,2016-05-24,31.35,8585,1379,1
