,date,fare
0,2016-06-03,160.54
1,2016-05-31,135.89000000000001
2,2016-05-24,93.16
3,2016-05-11,332.59000000000003
4,2016-06-02,137.44
5,2016-04-15,179.25
6,2016-05-21,324.21000000000004
7,2016-05-10,35.22
8,2016-04-18,52.68
9,2016-05-17,170.83000000000004
10,2016-04-04,192.64999999999998
11,2016-05-20,234.52
12,2016-05-27,145.43
13,2016-06-11,78.3
14,2016-06-01,92.18
15,2016-06-24,26.39
16,2016-05-18,143.28
17,2016-05-23,123.78
18,2016-06-21,135.10000000000002
19,2016-04-06,159.76
20,2016-05-28,50.53
21,2016-04-12,127.18999999999998
22,2016-06-07,189.99
23,2016-04-20,136.1
24,2016-06-23,77.38
25,2016-05-25,267.71000000000004
26,2016-04-19,62.85
27,2016-06-25,167.79000000000002
28,2016-06-09,95.68
29,2016-05-09,71.92999999999999
30,2016-04-11,33.61
31,2016-05-04,128.12
32,2016-06-06,44.42
33,2016-06-08,44.24
34,2016-04-02,49.94
35,2016-04-16,13.09
36,2016-04-05,58.5
37,2016-04-08,141.39000000000001
