,date,fare
0,2016-05-14,323.7
1,2016-05-03,317.44999999999993
2,2016-05-16,243.55
3,2016-05-26,203.39000000000001
4,2016-05-21,152.64999999999998
5,2016-06-01,60.49000000000001
6,2016-05-24,122.0
7,2016-05-31,47.03
8,2016-05-06,212.74
9,2016-05-01,340.35999999999996
10,2016-06-06,114.14000000000001
11,2016-05-07,142.5
12,2016-05-17,271.84000000000003
13,2016-05-15,290.27
14,2016-05-19,199.3
15,2016-05-13,103.60000000000001
16,2016-05-05,195.1
17,2016-05-11,294.11
18,2016-05-08,219.66
19,2016-05-02,28.88
20,2016-04-30,137.64999999999998
21,2016-05-12,206.82
22,2016-05-20,155.56
23,2016-05-30,189.75000000000003
24,2016-05-04,132.86
25,2016-05-28,68.86999999999999
26,2016-06-07,42.43
27,2016-05-29,296.91999999999996
28,2016-05-25,172.03
29,2016-06-09,62.42
30,2016-06-04,77.77
31,2016-05-09,212.96000000000004
32,2016-06-02,21.05
