,date,fare,distance,duration,number of ride
0,2016-05-03,134.39,48403,5297,7
1,2016-06-15,226.05999999999995,62987,9193,11
2,2016-06-11,333.72999999999996,101572,13557,16
3,2016-05-14,383.08000000000004,125651,15569,18
4,2016-05-07,224.09999999999997,52859,8968,12
5,2016-05-26,240.29,57462,10953,6
6,2016-05-10,221.13,71706,9265,9
7,2016-06-24,256.39000000000004,52847,10652,12
8,2016-05-28,259.98,77410,10043,15
9,2016-06-21,246.72000000000003,93789,10638,8
10,2016-06-14,168.36,67637,6736,8
11,2016-05-04,238.42,86151,9673,11
12,2016-05-16,85.03999999999999,13446,3167,6
13,2016-05-05,309.52000000000004,97326,12520,15
14,2016-05-17,227.88,93743,9851,7
15,2016-05-12,160.34,33197,6368,9
16,2016-05-24,256.08,51218,10452,13
17,2016-06-16,301.78,92884,12539,13
18,2016-05-13,388.81999999999994,193120,16757,11
19,2016-05-11,260.86,69225,10768,12
20,2016-06-25,403.51000000000005,90611,16298,21
21,2016-05-21,213.25,58812,8554,11
22,2016-05-18,188.82999999999998,29134,7688,10
23,2016-06-18,238.90000000000003,79962,9546,12
24,2016-06-09,232.23,60132,9535,11
25,2016-05-23,168.07999999999998,71622,7476,4
26,2016-05-25,188.19,23543,8281,7
27,2016-05-30,249.92000000000002,104471,10142,11
28,2016-06-23,370.62,140457,15147,16
29,2016-05-06,251.45000000000002,88514,10532,10
30,2016-05-22,93.05000000000001,22612,3715,5
31,2016-06-13,227.52000000000004,79481,9934,7
32,2016-05-19,303.1000000000001,104115,13506,8
33,2016-05-27,179.11999999999998,33913,7147,10
34,2016-05-02,142.98999999999998,74342,5561,7
35,2016-06-26,104.08000000000001,18882,3926,7
36,2016-05-29,41.29,1328,417,7
37,2016-05-20,192.29000000000002,38588,8191,8
38,2016-06-17,289.6,114048,11700,13
39,2016-06-12,325.78,92318,13600,14
40,2016-05-15,83.54,31062,3550,3
41,2016-05-08,138.59,68361,5569,6
42,2016-06-10,147.75,80778,6154,5
