,date,fare,distance,duration,number of ride
0,2016-05-07,348.77000000000004,137794,14279,15
1,2016-06-02,174.01000000000002,38525,6652,11
2,2016-04-22,156.83999999999997,44504,6496,7
3,2016-06-09,180.15,38108,6780,12
4,2016-05-02,83.66999999999999,20910,3042,6
5,2016-04-28,164.34,56656,6605,8
6,2016-05-14,264.33000000000004,72539,10730,13
7,2016-06-17,39.56,13951,1378,3
8,2016-04-30,279.40000000000003,75949,11101,15
9,2016-06-10,278.04999999999995,90423,10927,15
10,2016-04-29,189.07,51347,7542,10
11,2016-06-07,243.72000000000003,74320,9252,15
12,2016-04-26,176.76,64620,6805,10
13,2016-05-20,220.35000000000002,62945,8895,11
14,2016-05-05,110.75,27132,4607,5
15,2016-05-25,130.96,33797,5418,6
16,2016-04-25,115.78,39753,4779,5
17,2016-05-27,34.36,5934,1359,2
18,2016-06-16,32.7,12914,1223,2
19,2016-06-11,309.87999999999994,77512,12484,16
20,2016-05-17,83.52,20396,3430,4
21,2016-05-13,347.09000000000003,85960,13974,18
22,2016-05-06,281.81,111944,11362,13
23,2016-06-08,198.39000000000001,93837,7920,9
24,2016-05-22,76.45,20202,3062,4
25,2016-04-23,204.7,71194,7629,13
26,2016-05-18,71.19,19190,2795,4
27,2016-06-01,119.42999999999999,31612,4636,7
28,2016-06-06,194.18999999999997,49580,7430,12
29,2016-05-08,92.23,26078,3843,4
30,2016-06-15,175.14999999999998,58590,7156,8
31,2016-05-21,270.59,114982,11145,11
32,2016-05-16,145.85,65212,5970,6
33,2016-05-26,124.32000000000001,29278,5103,6
34,2016-05-12,145.07000000000002,44143,5493,9
35,2016-06-14,173.03999999999996,68373,7171,7
36,2016-04-27,175.66,40581,7311,8
37,2016-06-12,50.09,16602,1908,3
38,2016-05-19,47.84,12264,1822,3
39,2016-05-01,78.69,21974,3166,4
40,2016-05-03,100.22999999999999,33272,3622,7
