,date,fare,distance,duration,number of ride
0,2016-06-05,245.22,58940,9972,12
1,2016-05-10,79.09,18833,3405,3
2,2016-06-22,356.97999999999996,76879,14750,17
3,2016-06-06,68.19,10924,2697,4
4,2016-06-08,128.51,35230,5671,4
5,2016-06-20,214.75,16620,9716,7
6,2016-05-24,129.17,24088,5003,8
7,2016-05-22,17.09,2786,676,1
8,2016-05-04,120.59999999999998,21100,4968,6
9,2016-04-14,180.09,26957,7834,7
10,2016-05-05,159.24,31268,6129,10
11,2016-06-17,366.55,61504,14969,19
12,2016-06-03,118.06,39071,4903,5
13,2016-06-19,111.97,28051,4663,5
14,2016-06-07,99.07,40671,3900,5
15,2016-06-14,176.72,58293,7826,5
16,2016-06-01,104.69,18598,4351,5
17,2016-05-06,152.51000000000002,39518,6306,7
18,2016-06-15,194.71,34948,7954,10
19,2016-06-23,116.39000000000001,22708,4737,6
20,2016-06-21,104.28,16856,4146,6
21,2016-06-02,144.6,27991,6171,6
22,2016-06-11,175.15,43998,7259,8
23,2016-05-31,132.46,76673,5386,5
24,2016-04-26,97.92,37117,3866,5
25,2016-06-24,208.19,75029,8958,7
26,2016-05-21,176.54,33291,7408,8
27,2016-04-21,38.32,6742,1560,2
28,2016-06-10,39.59,5244,1637,2
29,2016-06-16,127.79999999999998,29960,5476,5
30,2016-06-13,35.370000000000005,8123,1396,2
