,date,fare,distance,duration,number of ride
0,2016-04-22,136.61,22419,5598,7
1,2016-06-18,133.70000000000002,40460,5317,7
2,2016-05-28,52.86,10672,1899,4
3,2016-04-25,51.900000000000006,9507,2053,3
4,2016-04-10,40.66,8476,1474,3
5,2016-05-18,104.05999999999999,17778,4324,5
6,2016-05-14,82.72999999999999,14477,3235,5
7,2016-06-23,25.939999999999998,3516,937,2
8,2016-05-05,218.35000000000002,81124,9444,7
9,2016-05-27,173.61,58520,7075,8
10,2016-05-26,229.18,74310,9667,9
11,2016-04-15,156.14,33407,6147,9
12,2016-04-29,140.47,23283,5989,6
13,2016-06-02,76.81,12895,3133,4
14,2016-05-07,151.21000000000004,63250,5873,8
15,2016-04-11,21.62,7369,880,1
16,2016-06-13,98.42,18396,4026,5
17,2016-05-03,90.35,20453,3394,6
18,2016-04-09,203.49,70199,8159,10
19,2016-05-12,61.239999999999995,18654,2475,3
20,2016-06-16,115.69000000000003,23488,4498,7
21,2016-05-25,88.89,16687,3541,5
22,2016-06-11,190.17999999999998,55399,7571,10
23,2016-04-23,80.11,22515,3041,5
24,2016-05-06,147.51999999999998,42651,6219,6
25,2016-05-31,65.14,12622,2526,4
26,2016-04-14,121.83,16771,4399,9
27,2016-04-27,113.05000000000001,17820,4597,6
28,2016-04-16,40.230000000000004,14078,1607,2
29,2016-06-22,48.8,10271,1886,3
30,2016-04-01,48.79,10885,2077,2
31,2016-06-24,53.5,9023,2140,3
32,2016-06-03,24.81,4334,1068,1
33,2016-06-17,40.65,25288,1745,1
34,2016-04-02,30.75,16913,1288,1
35,2016-05-17,76.77,17368,3295,3
36,2016-06-14,42.900000000000006,8015,1594,3
37,2016-06-01,64.10000000000001,11849,2477,4
38,2016-04-21,48.239999999999995,6168,2082,2
39,2016-05-04,71.96000000000001,14223,3066,3
