,date,fare
0,2016-06-26,202.91000000000003
1,2016-06-21,154.91
2,2016-05-28,133.12
3,2016-06-17,172.51
4,2016-04-25,101.42
5,2016-03-30,251.67999999999998
6,2016-04-19,51.260000000000005
7,2016-04-04,280.09999999999997
8,2016-05-29,254.74
9,2016-04-02,100.38
10,2016-05-11,116.87
11,2016-06-18,316.09999999999997
12,2016-05-25,124.42
13,2016-06-04,82.57000000000001
14,2016-04-18,113.74
15,2016-04-23,326.7900000000001
16,2016-04-16,371.1599999999999
17,2016-04-30,185.05999999999997
18,2016-06-11,244.60999999999999
19,2016-06-16,389.74999999999994
20,2016-05-18,51.53
21,2016-06-20,384.53
22,2016-06-01,76.34
23,2016-04-24,141.71999999999997
24,2016-04-01,285.97999999999996
25,2016-04-11,87.22
26,2016-05-31,228.12
27,2016-06-22,66.72
28,2016-05-08,41.43
29,2016-04-09,255.84999999999997
30,2016-06-13,231.45
31,2016-05-02,120.96
32,2016-06-09,168.32
33,2016-05-19,137.07
34,2016-06-19,160.21
35,2016-06-15,184.26
36,2016-05-09,161.85000000000002
37,2016-05-07,223.88
38,2016-04-05,116.34999999999998
39,2016-06-25,44.95
40,2016-04-17,60.07000000000001
41,2016-05-23,86.86000000000001
42,2016-05-15,94.15
43,2016-04-13,131.98000000000002
44,2016-05-05,134.63
45,2016-06-10,269.06
46,2016-06-24,395.7099999999999
47,2016-05-26,132.33
48,2016-05-27,70.64
49,2016-05-20,128.09
50,2016-05-06,245.82000000000002
51,2016-05-03,61.58
52,2016-04-29,151.5
53,2016-05-10,147.61000000000004
54,2016-05-04,102.44
55,2016-04-26,68.9
56,2016-04-27,95.08
57,2016-06-03,416.85999999999996
58,2016-06-05,130.76
59,2016-04-07,12.71
60,2016-04-06,94.38
61,2016-03-31,99.12999999999998
