,date,fare
0,2016-05-09,315.0899999999999
1,2016-06-09,187.01
2,2016-06-10,407.04999999999995
3,2016-05-18,158.72000000000003
4,2016-05-26,65.0
5,2016-05-16,244.97
6,2016-06-24,297.41999999999996
7,2016-06-13,165.13
8,2016-06-14,95.07000000000001
9,2016-05-11,195.47999999999996
10,2016-05-27,282.57
11,2016-05-13,401.34
12,2016-06-17,290.54999999999995
13,2016-05-23,96.7
14,2016-06-03,194.01999999999998
15,2016-05-12,158.69000000000003
16,2016-06-16,274.09
17,2016-05-19,151.93
18,2016-06-22,317.53999999999996
19,2016-06-07,177.26999999999998
20,2016-06-08,218.78
21,2016-05-24,268.21999999999997
22,2016-05-14,67.01
23,2016-05-25,185.78
24,2016-05-10,125.05
25,2016-06-23,91.63
26,2016-05-29,25.33
27,2016-06-21,160.42000000000002
28,2016-05-20,371.77000000000004
29,2016-06-15,173.40999999999997
30,2016-06-01,127.13
31,2016-05-31,96.57
32,2016-06-20,135.65
33,2016-06-02,73.84
34,2016-06-12,72.54
35,2016-06-18,128.15
36,2016-05-17,220.05000000000004
37,2016-05-15,31.299999999999997
38,2016-06-04,85.18
39,2016-05-28,13.07
