,date,fare
0,2016-04-14,127.97999999999999
1,2016-05-04,163.85
2,2016-06-07,127.99
3,2016-05-30,341.48000000000013
4,2016-05-09,75.36999999999999
5,2016-04-27,104.82999999999998
6,2016-06-16,124.19999999999999
7,2016-06-11,218.02999999999997
8,2016-04-15,103.35999999999999
9,2016-04-28,111.95
10,2016-05-08,75.04
11,2016-05-11,136.53
12,2016-06-22,117.34999999999998
13,2016-04-09,286.32
14,2016-04-19,128.17000000000002
15,2016-05-15,175.58
16,2016-06-15,66.5
17,2016-05-02,143.26999999999998
18,2016-06-09,144.88
19,2016-06-21,129.62
20,2016-05-01,139.38
21,2016-05-22,111.98
22,2016-06-23,133.58
23,2016-04-17,121.33000000000001
24,2016-06-02,192.70999999999998
25,2016-04-12,82.57
26,2016-04-18,148.04000000000002
27,2016-05-18,104.62
28,2016-05-14,40.94
29,2016-05-29,95.64
30,2016-04-29,123.37
31,2016-05-06,123.55000000000001
32,2016-05-12,91.02
33,2016-04-11,19.24
34,2016-04-08,22.15
35,2016-06-17,98.29
36,2016-04-21,126.13000000000001
37,2016-05-19,102.0
38,2016-06-03,62.730000000000004
39,2016-06-18,25.6
40,2016-04-20,84.63
41,2016-05-16,177.45
42,2016-05-10,119.25
43,2016-05-03,119.44000000000001
44,2016-04-22,94.95
45,2016-04-16,45.94
46,2016-06-01,97.82999999999998
47,2016-05-17,57.379999999999995
48,2016-06-14,57.08
49,2016-05-07,46.19
50,2016-04-26,117.25
51,2016-05-24,114.06
52,2016-05-05,78.21
53,2016-04-10,58.989999999999995
54,2016-04-23,102.58000000000001
55,2016-05-13,110.87
56,2016-05-26,22.810000000000002
57,2016-05-23,38.71
58,2016-06-24,46.599999999999994
59,2016-04-24,14.48
60,2016-04-30,28.01
