,date,fare
0,2016-05-18,413.35
1,2016-05-08,374.48999999999995
2,2016-05-07,278.72
3,2016-06-09,316.62
4,2016-05-21,311.13
5,2016-05-01,175.93
6,2016-05-19,479.77000000000004
7,2016-06-02,309.38
8,2016-06-10,475.34000000000003
9,2016-05-23,236.71999999999997
10,2016-05-13,189.64
11,2016-06-25,159.85
12,2016-05-22,99.41999999999999
13,2016-06-26,510.01
14,2016-05-16,495.47
15,2016-06-01,424.24000000000007
16,2016-06-08,468.36
17,2016-05-28,363.5
18,2016-06-05,340.71999999999997
19,2016-05-20,275.67
20,2016-05-10,139.64
21,2016-05-06,185.23
22,2016-05-31,171.26000000000002
23,2016-06-11,370.58000000000004
24,2016-06-07,389.19000000000005
25,2016-05-14,244.29
26,2016-06-12,252.11
27,2016-06-03,247.18999999999997
28,2016-05-12,216.40000000000003
29,2016-05-11,435.74999999999994
30,2016-05-29,112.71999999999998
31,2016-05-09,18.16
32,2016-05-15,83.5
33,2016-05-03,165.45
34,2016-05-27,241.32
35,2016-06-13,50.900000000000006
36,2016-06-15,137.32999999999998
37,2016-06-16,49.25
38,2016-05-25,138.39
39,2016-06-04,309.83
40,2016-05-04,231.78999999999996
41,2016-05-05,231.14999999999998
