,date,fare,distance,duration,number of ride
0,2016-04-08,104.53,26264,4484,4
1,2016-05-30,59.74,10966,2256,4
2,2016-06-04,72.81,16487,2899,4
3,2016-06-08,116.77999999999997,23648,4359,8
4,2016-04-28,96.66000000000001,20836,3916,5
5,2016-06-20,164.98,61990,6013,11
6,2016-06-18,123.57,34742,5026,6
7,2016-06-01,102.61,20668,3836,7
8,2016-06-19,106.45,31098,4158,6
9,2016-06-05,83.96000000000001,35155,3152,5
10,2016-06-03,173.22000000000003,40104,6991,9
11,2016-05-13,185.38,35398,7659,9
12,2016-06-11,192.35999999999999,57250,7280,12
13,2016-06-09,110.92,36779,4351,6
14,2016-06-13,227.79,74812,9394,10
15,2016-06-14,80.45000000000002,13856,3120,5
16,2016-05-23,222.93000000000004,87515,9051,10
17,2016-05-03,49.24,23829,2008,2
18,2016-06-06,109.30000000000001,37565,4652,4
19,2016-05-18,105.56,24290,4356,5
20,2016-04-09,54.08,9702,2361,2
21,2016-06-17,90.28999999999999,11981,3647,5
22,2016-06-22,95.38,19970,3659,6
23,2016-04-26,88.72000000000001,14133,3550,5
24,2016-06-21,151.91,31295,6138,8
25,2016-04-23,74.77,16194,2807,5
26,2016-05-07,29.17,4830,1096,2
27,2016-04-15,38.510000000000005,7135,1371,3
28,2016-06-15,218.71000000000004,56326,9444,8
29,2016-04-20,110.47,25780,4602,5
30,2016-04-27,13.92,2364,514,1
31,2016-06-26,56.519999999999996,30131,2147,3
32,2016-05-16,71.48,21565,2598,5
33,2016-06-07,181.02,43431,7179,10
34,2016-05-20,137.03,25601,5598,7
35,2016-06-16,165.61,31140,6657,9
36,2016-05-10,75.55,16590,2845,5
37,2016-05-15,14.38,5867,513,1
38,2016-05-08,129.61,55056,5391,5
39,2016-04-22,96.44,33388,4011,4
40,2016-05-06,25.52,6063,897,2
41,2016-05-02,110.52,103076,4444,3
42,2016-05-22,43.900000000000006,21505,1746,2
43,2016-05-19,86.12,15000,3799,3
44,2016-04-06,46.64,8296,1761,3
45,2016-05-31,141.51,29636,5607,8
46,2016-06-02,166.53000000000003,54523,6539,9
47,2016-05-05,42.239999999999995,7515,1759,2
48,2016-04-13,54.86,9181,2210,3
49,2016-05-04,58.5,8071,2603,2
50,2016-04-19,110.98,31290,4589,5
51,2016-05-21,129.89,41034,5115,7
52,2016-04-10,92.85,63113,3612,4
53,2016-04-14,111.60000000000001,21563,4299,7
54,2016-04-29,112.47999999999999,39945,4606,5
55,2016-05-26,27.35,2606,1017,2
56,2016-05-29,32.02,7152,1228,2
57,2016-04-07,102.05000000000001,21122,4391,4
58,2016-05-27,74.67,40206,3022,3
59,2016-05-17,45.3,26368,1980,1
60,2016-05-12,115.00999999999999,41850,4723,5
61,2016-06-24,78.68,10859,3441,3
62,2016-04-30,36.87,5491,1689,1
63,2016-06-23,80.92999999999999,17533,3315,4
64,2016-06-10,151.57000000000002,39280,6258,7
65,2016-05-25,34.62,5711,1374,2
66,2016-05-28,28.27,20816,1131,1
67,2016-04-21,47.85,7758,2050,2
68,2016-05-01,25.77,4913,1114,1
