,date,fare,distance,duration,number of ride
0,2016-05-21,10.0,1844,313,1
1,2016-05-30,139.64,53785,5728,6
2,2016-05-06,64.66999999999999,21953,2435,4
3,2016-04-29,74.7,29628,2903,4
4,2016-05-29,248.62,90780,10759,8
5,2016-05-28,118.52000000000001,41936,4710,6
6,2016-05-20,64.27,32914,2531,3
7,2016-05-18,13.23,2906,474,1
8,2016-05-25,55.72,20093,2177,3
9,2016-05-15,93.75999999999999,54728,3914,3
10,2016-05-27,69.43,19157,2703,4
11,2016-05-02,23.049999999999997,3722,785,2
12,2016-06-08,33.33,6611,1496,1
13,2016-05-23,11.23,2721,371,1
14,2016-05-07,67.9,63071,2897,1
