,date,fare,distance,duration,number of ride
0,2016-04-07,265.65000000000003,53767,10933,13
1,2016-05-27,132.78,26613,5173,8
2,2016-05-26,107.99,20665,4508,5
3,2016-05-19,236.96,47198,9678,12
4,2016-06-13,312.83,145858,12934,12
5,2016-05-21,187.6,62543,7385,10
6,2016-05-24,230.71,61867,9248,12
7,2016-03-29,330.8499999999999,67648,13648,16
8,2016-03-30,301.32,120001,12517,12
9,2016-06-17,303.05,115401,11662,17
10,2016-05-31,248.04000000000002,85074,10182,11
11,2016-03-28,260.3299999999999,63756,10388,14
12,2016-05-18,263.82,78667,11051,11
13,2016-05-10,169.66000000000003,64843,7411,5
14,2016-06-08,186.36999999999995,50657,7406,10
15,2016-06-14,311.94,116882,12311,16
16,2016-05-20,225.79000000000002,54220,8458,15
17,2016-04-11,238.76,85161,9698,11
18,2016-05-11,142.82,57859,5669,7
19,2016-05-28,194.06,65646,7505,11
20,2016-04-06,211.76,41685,8990,9
21,2016-05-09,317.3,109270,12841,15
22,2016-06-18,144.1,54068,5568,8
23,2016-06-05,54.16,10221,2166,3
24,2016-06-10,43.45,9972,1609,3
25,2016-06-20,212.02,92800,8444,10
26,2016-06-06,231.23999999999998,75000,9183,12
27,2016-06-02,198.47,61688,7958,10
28,2016-06-23,301.05,132738,12021,14
29,2016-06-09,234.14000000000001,88568,9627,10
30,2016-06-03,186.71,67767,7497,9
31,2016-05-17,196.3,51411,7919,10
32,2016-04-14,109.46000000000001,25861,4352,6
33,2016-06-25,186.63,123728,7485,7
34,2016-06-22,263.76,109842,10630,12
35,2016-03-31,170.74999999999997,32344,7113,8
36,2016-06-15,180.73999999999998,45172,6956,11
37,2016-06-24,104.48,27576,4080,6
38,2016-06-07,252.46000000000004,102674,10287,11
39,2016-04-13,67.42,13614,2638,4
40,2016-05-13,311.28999999999996,86616,12885,14
41,2016-05-25,111.28999999999999,12100,4547,6
42,2016-04-09,267.03000000000003,64989,10729,14
43,2016-06-01,172.37,46971,7093,8
44,2016-04-08,292.7,74045,11612,16
45,2016-05-16,160.99999999999997,54619,6446,8
46,2016-04-10,63.620000000000005,12951,2444,4
47,2016-04-03,84.25999999999999,21400,3265,5
48,2016-04-02,142.81000000000003,40678,5400,9
49,2016-04-12,263.43,79785,10435,14
50,2016-05-12,25.04,4835,881,2
51,2016-06-21,304.40999999999997,111247,12936,11
52,2016-06-04,122.36000000000001,28668,4810,7
53,2016-04-01,181.03,50928,7517,8
54,2016-06-16,172.29,61491,6986,8
55,2016-05-23,193.94,157289,8214,4
56,2016-05-30,42.18,20623,1662,2
57,2016-04-05,10.41,2468,330,1
