,date,fare
0,2016-05-14,122.14
1,2016-05-13,64.92
2,2016-06-16,123.17999999999998
3,2016-05-02,155.51
4,2016-06-07,29.5
5,2016-05-22,215.27999999999997
6,2016-05-15,165.28
7,2016-05-31,51.22
8,2016-04-27,75.08
9,2016-04-26,164.3
10,2016-06-24,168.01999999999998
11,2016-05-26,155.98000000000002
12,2016-05-11,92.92
13,2016-05-29,207.61999999999998
14,2016-06-03,130.79000000000002
15,2016-06-17,144.21
16,2016-05-04,110.22
17,2016-05-16,135.14
18,2016-05-01,219.29000000000002
19,2016-06-13,64.64
20,2016-06-02,114.05
21,2016-04-22,81.02000000000001
22,2016-06-22,68.35
23,2016-05-27,90.24000000000001
24,2016-05-21,37.95
25,2016-04-24,173.27999999999997
26,2016-06-01,105.96
27,2016-05-18,68.91
28,2016-06-10,103.25
29,2016-06-06,179.36
30,2016-05-25,54.42
31,2016-06-08,137.49
32,2016-06-26,102.03
33,2016-05-19,116.27999999999999
34,2016-05-24,136.0
35,2016-06-15,25.99
36,2016-04-29,100.11
37,2016-05-17,29.880000000000003
38,2016-06-20,44.68
39,2016-06-04,52.5
40,2016-04-30,58.13
41,2016-05-03,20.58
42,2016-06-19,108.35
43,2016-05-12,82.39
44,2016-06-21,54.65
45,2016-04-21,15.47
46,2016-05-10,24.17
47,2016-05-20,11.58
48,2016-06-12,94.78
