,date,fare,distance,duration,number of ride
0,2016-05-05,203.2,56214,8244,10
1,2016-05-04,120.85000000000001,68800,4837,5
2,2016-05-17,253.68,133795,10520,9
3,2016-04-26,122.77,66850,4560,7
4,2016-05-18,184.94,60372,8044,6
5,2016-05-09,191.7,100460,7524,9
6,2016-05-01,212.60000000000002,108427,8558,9
7,2016-05-06,365.70000000000005,137078,14971,16
8,2016-04-29,290.42999999999995,90597,11767,14
9,2016-05-13,318.38,78302,12336,19
10,2016-05-07,289.50000000000006,77762,12202,12
11,2016-05-12,317.5,85484,13216,14
12,2016-05-16,136.16,103270,5585,4
13,2016-04-28,372.65,128278,15201,17
14,2016-05-08,75.74999999999999,21566,2820,5
15,2016-05-02,99.66,30141,3811,6
16,2016-04-14,193.44,86150,7913,8
17,2016-04-21,164.37,42920,6900,7
18,2016-05-11,169.99,39804,6824,9
19,2016-05-10,14.09,2627,521,1
20,2016-05-14,295.57,102140,11171,18
21,2016-04-30,197.20999999999998,101445,8000,8
22,2016-04-18,137.26,58646,5569,6
23,2016-04-16,64.68,11328,2707,3
24,2016-04-20,86.03,45872,3574,3
25,2016-04-17,272.96,96998,11005,13
26,2016-04-27,265.33,63450,10457,15
27,2016-05-03,270.8,74203,10860,14
28,2016-06-12,24.32,16121,958,1
29,2016-04-13,11.26,3229,369,1
30,2016-04-22,11.6,2996,388,1
31,2016-05-19,70.12,15369,2766,4
32,2016-04-15,22.31,4418,937,1
33,2016-04-19,33.06,19371,1391,1
