,date,fare
0,2016-04-10,62.09
1,2016-04-11,68.73
2,2016-06-04,24.56
3,2016-05-03,131.59
4,2016-04-06,93.11
5,2016-04-07,98.68
6,2016-04-08,22.27
7,2016-05-04,60.910000000000004
8,2016-04-05,76.46000000000001
9,2016-04-02,178.78
10,2016-04-23,44.19
11,2016-05-31,15.96
12,2016-04-13,75.43
13,2016-06-11,22.83
14,2016-05-02,17.21
15,2016-04-14,36.5
16,2016-04-04,27.13
17,2016-05-06,136.96
18,2016-04-20,18.94
19,2016-04-12,24.57
20,2016-05-09,28.85
21,2016-05-05,26.400000000000002
22,2016-04-03,87.49000000000001
23,2016-04-15,34.66
