,date,fare
0,2016-05-15,296.77000000000004
1,2016-06-21,313.02000000000004
2,2016-06-17,184.71
3,2016-05-29,525.18
4,2016-06-09,265.65000000000003
5,2016-05-25,118.54
6,2016-05-14,171.35999999999999
7,2016-05-27,431.73
8,2016-06-02,146.43
9,2016-06-06,57.69
10,2016-06-07,219.84000000000003
11,2016-05-12,135.84
12,2016-06-22,92.2
13,2016-06-25,242.9
14,2016-06-18,231.65
15,2016-05-31,260.89000000000004
16,2016-05-21,161.56
17,2016-05-13,106.33999999999999
18,2016-05-18,184.27999999999997
19,2016-05-16,138.9
20,2016-06-08,80.3
21,2016-05-26,163.51999999999998
22,2016-06-26,166.84
23,2016-06-23,213.69999999999996
24,2016-06-04,86.3
25,2016-06-03,144.04999999999998
26,2016-06-16,121.85
27,2016-06-19,318.56000000000006
28,2016-06-20,380.42999999999995
29,2016-05-20,183.22
30,2016-06-05,87.86
31,2016-05-23,137.86
32,2016-05-17,205.74000000000004
33,2016-05-19,240.44000000000003
34,2016-05-24,67.1
35,2016-06-24,61.03
36,2016-06-01,96.28999999999999
37,2016-05-11,38.73
