,date,fare
0,2016-06-02,209.07000000000002
1,2016-05-27,126.75999999999999
2,2016-05-18,156.7
3,2016-05-09,123.03
4,2016-06-18,405.69000000000005
5,2016-04-30,220.98
6,2016-06-16,260.10999999999996
7,2016-06-24,123.33000000000001
8,2016-06-13,135.29999999999998
9,2016-06-22,345.53
10,2016-05-05,106.14000000000001
11,2016-04-29,310.58
12,2016-05-04,220.72000000000003
13,2016-06-19,77.08000000000001
14,2016-05-12,248.55999999999997
15,2016-06-14,145.85000000000002
16,2016-06-03,26.119999999999997
17,2016-06-01,145.77
18,2016-06-26,25.3
19,2016-05-06,277.63
20,2016-06-25,198.5
21,2016-05-19,32.69
22,2016-05-01,39.85
23,2016-05-11,61.370000000000005
24,2016-05-13,84.44
25,2016-06-17,105.47
26,2016-05-25,62.660000000000004
27,2016-05-28,257.11000000000007
28,2016-05-15,158.81
29,2016-06-21,58.19
30,2016-06-20,61.97
31,2016-05-03,123.61
32,2016-05-26,52.59
33,2016-06-06,10.71
34,2016-04-28,76.94
35,2016-05-10,75.12
36,2016-05-02,138.51
37,2016-06-12,61.07
38,2016-06-15,139.62
39,2016-05-14,19.94
40,2016-05-17,41.61
41,2016-06-11,95.21
42,2016-05-29,122.27
43,2016-06-04,96.41
44,2016-06-08,14.89
45,2016-06-05,21.52
