,date,fare,distance,duration,number of ride
0,2016-05-29,413.9500000000001,88243,17641,17
1,2016-05-16,219.3,51866,8920,11
2,2016-05-19,417.37000000000006,137408,18056,14
3,2016-05-23,248.52,125028,10510,8
4,2016-05-31,123.62,27257,5473,4
5,2016-06-03,249.93999999999997,47546,10923,9
6,2016-05-24,167.37,36846,7295,6
7,2016-06-08,181.05999999999997,47323,7702,7
8,2016-05-13,207.91000000000003,42032,8392,11
9,2016-05-14,317.11999999999995,86159,13343,13
10,2016-05-15,151.06,42556,6208,7
11,2016-05-28,192.64,42671,8180,8
12,2016-05-07,71.67999999999999,18142,3023,3
13,2016-05-27,124.60999999999999,43401,5409,4
14,2016-06-05,271.55,53745,11240,13
15,2016-05-25,136.52,36525,5884,5
16,2016-05-21,258.53999999999996,55532,10550,13
17,2016-05-18,38.81,8931,1570,2
18,2016-05-05,88.21000000000001,22087,3662,4
19,2016-05-30,74.78,15872,3006,4
20,2016-06-11,198.20999999999998,42430,7887,11
21,2016-06-10,257.15,69686,10767,11
22,2016-06-09,116.70999999999998,19058,4975,5
23,2016-05-12,266.02000000000004,43929,11414,11
24,2016-06-12,158.09999999999997,31821,6261,9
25,2016-05-09,56.769999999999996,10038,2108,4
26,2016-05-22,162.31,53959,7105,5
27,2016-05-20,177.19,32094,7451,8
28,2016-06-02,169.92000000000002,54960,7104,7
29,2016-05-10,108.65,45125,4760,3
30,2016-06-06,161.75,79100,7093,4
31,2016-06-04,190.24,50868,7997,8
32,2016-05-26,47.33,6603,2031,2
33,2016-06-07,63.49,12621,2831,2
34,2016-06-01,100.59,21857,4310,4
