,date,fare
0,2016-06-09,71.24000000000001
1,2016-04-30,122.01
2,2016-05-04,51.379999999999995
3,2016-05-09,46.489999999999995
4,2016-06-03,12.26
5,2016-06-13,22.21
6,2016-05-10,19.88
7,2016-06-20,56.39
8,2016-06-04,66.99
9,2016-06-21,88.99
10,2016-05-26,144.68
11,2016-06-16,77.34
12,2016-06-08,79.08
13,2016-04-28,28.96
14,2016-05-08,38.620000000000005
15,2016-05-11,30.94
16,2016-04-27,24.93
17,2016-05-27,16.14
18,2016-06-15,15.42
19,2016-04-25,11.9
20,2016-05-12,30.28
21,2016-06-02,84.91
22,2016-05-02,34.18
