,date,fare,distance,duration,number of ride
0,2016-06-24,304.58000000000004,99431,12443,14
1,2016-04-04,141.11,30582,5970,6
2,2016-04-01,196.47,72853,7940,9
3,2016-04-20,168.71,30278,7021,8
4,2016-04-05,215.22000000000003,51380,9297,8
5,2016-04-27,135.91,41199,5623,6
6,2016-05-16,228.84,50004,9430,11
7,2016-05-29,167.63,57730,6768,8
8,2016-06-21,179.94000000000003,70560,7124,9
9,2016-06-22,186.70999999999998,53786,7206,11
10,2016-06-23,143.82999999999998,22960,6167,6
11,2016-05-02,196.91000000000003,37466,7855,11
12,2016-05-01,128.39,74877,5186,5
13,2016-05-24,199.29000000000002,139702,8619,4
14,2016-05-20,282.78999999999996,52399,11446,15
15,2016-04-22,101.50999999999999,29685,4302,4
16,2016-04-30,181.38000000000002,34802,7259,10
17,2016-04-18,61.38,17157,2493,3
18,2016-04-21,196.73,79238,8134,8
19,2016-05-11,141.63,33057,5784,7
20,2016-04-25,83.06,34803,3303,4
21,2016-05-27,257.34000000000003,56912,10476,13
22,2016-05-08,114.85999999999999,18518,4295,8
23,2016-05-17,115.3,61312,4796,4
24,2016-06-20,191.3,32855,7594,11
25,2016-05-09,149.04,41774,6108,7
26,2016-03-31,66.58,15775,2579,4
27,2016-04-07,111.85,21445,4900,4
28,2016-04-24,158.75,29881,6504,8
29,2016-05-07,147.99,53051,5974,7
30,2016-04-06,151.67000000000002,33030,6504,6
31,2016-05-14,167.23999999999998,56868,6559,9
32,2016-05-06,297.09000000000003,62771,12509,13
33,2016-04-08,146.07999999999998,34294,6399,5
34,2016-05-28,132.03,73550,5581,4
35,2016-04-28,153.2,45106,6693,5
36,2016-05-18,114.38000000000001,24268,4816,5
37,2016-05-25,156.56,29634,6783,6
38,2016-04-16,295.15000000000003,117545,12800,9
39,2016-06-25,135.83,33854,5085,9
40,2016-05-26,85.65,81191,3694,1
41,2016-06-26,156.2,54716,6194,8
42,2016-04-03,210.78000000000003,67927,8697,9
43,2016-04-10,170.84,73617,7801,3
44,2016-05-12,237.89999999999998,63254,10200,9
45,2016-05-04,115.82,24329,4696,6
46,2016-05-13,52.15,23194,1968,3
47,2016-03-30,144.58999999999997,41946,6039,6
48,2016-04-15,124.91999999999999,52938,5161,5
49,2016-05-03,137.44,26790,5610,7
50,2016-05-21,154.42000000000002,58691,6268,7
51,2016-04-12,118.86000000000001,23269,5253,4
52,2016-04-19,106.92,23175,4240,6
53,2016-04-02,70.77000000000001,18199,2780,4
54,2016-04-14,135.75,61626,5665,5
55,2016-04-09,33.47,6181,1311,2
56,2016-05-19,105.0,35373,4247,5
57,2016-04-23,85.65,31011,3269,5
58,2016-04-29,141.62,55565,6015,5
59,2016-05-22,143.04999999999998,37024,5634,8
60,2016-04-11,51.019999999999996,16093,1960,3
61,2016-04-26,128.12,60260,5668,3
62,2016-04-17,89.66,29100,3492,5
63,2016-04-13,18.7,2785,760,1
64,2016-05-23,205.19,73337,9008,6
