,date,fare
0,2016-05-16,268.93
1,2016-05-13,149.70999999999998
2,2016-05-10,129.76
3,2016-06-25,511.11000000000007
4,2016-06-17,288.08000000000004
5,2016-06-08,258.11000000000007
6,2016-06-02,210.10000000000002
7,2016-05-19,171.38
8,2016-06-15,367.75
9,2016-06-06,202.13000000000002
10,2016-05-11,196.76
11,2016-06-01,279.31
12,2016-06-11,422.42999999999995
13,2016-06-09,225.33999999999997
14,2016-06-14,229.77
15,2016-06-04,182.98000000000002
16,2016-06-22,209.28999999999996
17,2016-05-28,188.93
18,2016-06-03,239.96
19,2016-06-26,171.74
20,2016-05-12,196.12
21,2016-06-23,250.48
22,2016-05-23,212.62
23,2016-06-07,240.57999999999998
24,2016-06-21,150.58
25,2016-05-18,186.16
26,2016-05-26,159.11
27,2016-06-12,101.17
28,2016-06-10,198.08
29,2016-05-27,136.25
30,2016-05-21,69.75
31,2016-06-16,137.66
32,2016-06-19,94.66
33,2016-05-25,81.16
34,2016-05-20,49.6
