,date,fare
0,2016-05-29,125.75
1,2016-05-13,259.90999999999997
2,2016-05-17,232.8
3,2016-05-20,158.63
4,2016-05-30,147.54000000000002
5,2016-05-28,272.02
6,2016-05-11,257.53999999999996
7,2016-06-02,34.29
8,2016-05-12,278.72999999999996
9,2016-05-24,156.68
10,2016-05-27,148.56
11,2016-05-26,107.92999999999999
12,2016-05-10,141.25
13,2016-05-14,160.47
14,2016-05-07,35.79
15,2016-05-25,143.83
16,2016-05-21,312.94000000000005
17,2016-05-15,285.88
18,2016-05-08,101.96
19,2016-06-01,188.09
20,2016-05-19,214.53
21,2016-05-31,49.6
22,2016-05-16,104.41
23,2016-05-06,116.75
24,2016-05-09,203.89000000000001
25,2016-05-22,135.47000000000003
26,2016-05-23,137.26999999999998
27,2016-05-18,45.17
