,date,fare,distance,duration,number of ride
0,2016-05-11,95.73,19660,3680,6
1,2016-04-17,113.73,51368,4589,5
2,2016-05-03,168.1,56798,6800,8
3,2016-04-24,53.39,21119,2048,3
4,2016-06-17,164.85000000000002,50752,6478,9
5,2016-06-18,194.05,62944,7914,9
6,2016-05-04,67.7,43962,2827,2
7,2016-06-24,189.60000000000002,76265,7783,8
8,2016-04-28,79.34,18837,2831,6
9,2016-06-15,142.18999999999997,41645,5752,7
10,2016-06-22,367.9,91211,14632,20
11,2016-06-20,82.06,19202,2971,6
12,2016-06-21,136.01,38303,5454,7
13,2016-05-14,246.52,68213,9833,13
14,2016-04-09,227.13,72892,9570,9
15,2016-06-16,59.940000000000005,15036,2433,3
16,2016-06-23,164.91,45367,6715,8
17,2016-04-06,39.72,9129,1616,2
18,2016-04-16,165.56,44061,6954,7
19,2016-04-22,150.87,47276,6165,7
20,2016-05-09,49.14,16377,1860,3
21,2016-05-10,25.68,4383,704,3
22,2016-04-04,116.56,25311,4140,9
23,2016-04-08,67.1,21684,2759,3
24,2016-04-15,58.370000000000005,12469,2565,2
25,2016-04-29,44.29,9125,1659,3
26,2016-04-05,21.45,9165,858,1
27,2016-04-07,8.14,975,222,1
