,date,fare
0,2016-05-14,309.61
1,2016-06-01,128.26
2,2016-05-18,295.86000000000007
3,2016-05-22,278.12
4,2016-06-07,35.43
5,2016-05-12,259.69
6,2016-05-21,374.15999999999997
7,2016-05-30,221.88
8,2016-06-05,40.120000000000005
9,2016-05-07,193.75
10,2016-06-09,140.03
11,2016-05-19,179.83999999999997
12,2016-06-02,226.42
13,2016-06-06,25.41
14,2016-05-11,215.90999999999997
15,2016-05-15,107.12
16,2016-05-05,138.8
17,2016-05-10,87.31
18,2016-06-12,79.60000000000001
19,2016-06-10,240.11
20,2016-05-13,292.78
21,2016-06-25,44.71
22,2016-06-26,107.81
23,2016-05-20,399.90000000000003
24,2016-06-04,66.48
25,2016-06-23,46.99
26,2016-05-26,34.61
27,2016-06-18,27.08
28,2016-05-04,7.02
29,2016-05-06,13.28
