,date,fare,distance,duration,number of ride
0,2016-05-03,75.99,15199,2878,5
1,2016-05-02,87.2,17057,3254,6
2,2016-04-16,144.82,109150,6386,2
3,2016-04-24,179.54000000000002,35395,6962,11
4,2016-04-29,249.36999999999995,100023,10341,10
5,2016-04-26,80.71,35880,3172,4
6,2016-04-19,51.39,19515,2151,2
7,2016-04-30,184.37,103324,7318,8
8,2016-04-25,51.8,23046,2147,2
9,2016-04-28,53.66,43718,2292,1
10,2016-04-18,41.37,25290,1587,2
11,2016-04-27,15.26,5714,560,1
12,2016-05-05,47.97,12742,1825,3
13,2016-05-04,14.43,3554,532,1
