,date,fare
0,2016-05-14,255.87999999999997
1,2016-04-13,332.51000000000005
2,2016-04-15,202.56
3,2016-06-16,107.65000000000002
4,2016-06-17,42.97
5,2016-05-12,265.42
6,2016-05-25,155.89000000000001
7,2016-05-26,157.8
8,2016-04-27,82.79
9,2016-06-22,97.55000000000001
10,2016-05-05,56.93
11,2016-04-16,137.16000000000003
12,2016-06-01,93.75999999999999
13,2016-04-06,242.89
14,2016-05-20,97.38000000000001
15,2016-04-22,88.8
16,2016-04-23,148.41
17,2016-04-20,118.81
18,2016-06-02,191.07000000000002
19,2016-06-04,21.84
20,2016-05-18,240.13
21,2016-04-29,49.28
22,2016-04-21,109.02
23,2016-06-11,180.71
24,2016-06-25,167.63000000000002
25,2016-04-28,146.21
26,2016-04-07,100.7
27,2016-06-23,88.43
28,2016-05-04,228.67000000000002
29,2016-06-18,49.22
30,2016-06-24,137.95
31,2016-04-09,87.47
32,2016-05-13,54.68000000000001
33,2016-05-24,37.81999999999999
34,2016-06-10,82.39
35,2016-04-24,89.0
36,2016-04-14,107.42
37,2016-06-08,66.59
38,2016-04-08,111.34
39,2016-06-03,62.879999999999995
40,2016-05-19,58.5
41,2016-05-07,155.6
42,2016-05-15,23.42
43,2016-04-30,73.45
44,2016-06-09,106.88
45,2016-05-11,189.54
46,2016-06-15,15.68
