,date,fare
0,2016-06-06,191.13
1,2016-06-12,294.76
2,2016-06-13,141.80999999999997
3,2016-05-22,106.55
4,2016-06-11,352.48999999999995
5,2016-06-18,185.96999999999997
6,2016-06-24,422.93
7,2016-06-10,215.55
8,2016-06-17,396.3499999999999
9,2016-06-05,259.15999999999997
10,2016-06-01,104.63
11,2016-05-30,125.76
12,2016-06-07,248.85999999999999
13,2016-05-09,113.72999999999999
14,2016-06-22,310.67
15,2016-06-15,425.66999999999996
16,2016-06-25,215.34
17,2016-05-16,60.79
18,2016-05-20,152.82999999999998
19,2016-06-09,208.58999999999997
20,2016-05-04,14.2
21,2016-06-16,335.48
22,2016-05-19,74.44
23,2016-05-27,126.16
24,2016-05-10,78.56
25,2016-06-14,172.45999999999998
26,2016-06-26,82.59
27,2016-05-12,50.28
28,2016-06-02,120.9
29,2016-05-21,70.41
30,2016-05-08,148.51
31,2016-05-24,133.35
32,2016-05-07,117.25999999999999
33,2016-05-28,85.85000000000001
34,2016-05-26,115.91999999999999
35,2016-06-03,203.94
36,2016-05-02,13.14
37,2016-05-01,222.62
38,2016-04-30,71.98
39,2016-05-11,85.4
40,2016-06-08,96.3
41,2016-05-18,105.38999999999999
42,2016-06-23,281.15999999999997
43,2016-05-31,70.32
44,2016-05-25,19.45
