,date,fare
0,2016-05-13,143.39000000000001
1,2016-05-19,346.88999999999993
2,2016-06-21,190.66000000000003
3,2016-06-07,145.38
4,2016-06-03,270.49
5,2016-05-14,192.92000000000002
6,2016-05-16,191.47
7,2016-06-20,147.63
8,2016-05-10,203.69
9,2016-05-17,336.91
10,2016-05-24,185.46
11,2016-05-11,152.55
12,2016-06-02,186.75
13,2016-05-26,233.69
14,2016-05-25,197.81
15,2016-06-10,299.76
16,2016-05-09,87.9
17,2016-06-14,150.24
18,2016-06-08,209.38
19,2016-06-18,251.39
20,2016-05-27,434.4799999999999
21,2016-06-23,88.61999999999999
22,2016-06-16,54.25
23,2016-06-24,151.57
24,2016-06-15,212.49
25,2016-05-18,181.54000000000002
26,2016-06-04,81.9
27,2016-05-12,185.63
28,2016-06-01,161.47999999999996
29,2016-05-23,128.31
30,2016-06-09,100.34
31,2016-06-11,182.27
32,2016-06-05,9.67
