,date,fare
0,2016-05-11,111.07000000000001
1,2016-05-20,140.79
2,2016-05-12,167.76
3,2016-05-26,135.29999999999998
4,2016-05-29,146.94
5,2016-05-23,143.47
6,2016-06-06,76.28
7,2016-05-02,196.66
8,2016-05-19,42.99
9,2016-05-21,256.6
10,2016-06-04,207.61000000000004
11,2016-05-18,123.5
12,2016-04-30,115.19999999999999
13,2016-05-07,145.03
14,2016-05-22,342.95
15,2016-05-10,117.25
16,2016-05-14,231.54999999999995
17,2016-06-03,76.25
18,2016-05-06,152.09
19,2016-06-14,61.99
20,2016-05-04,167.66000000000003
21,2016-05-13,78.15
22,2016-06-16,45.010000000000005
23,2016-06-20,39.71
24,2016-04-29,92.37
25,2016-06-07,100.66
26,2016-06-10,74.83
27,2016-05-30,69.1
28,2016-05-25,56.14
29,2016-06-09,35.47
30,2016-05-16,83.75
31,2016-05-01,101.72
32,2016-05-09,55.690000000000005
33,2016-05-05,290.83
34,2016-06-19,14.76
35,2016-05-17,60.519999999999996
36,2016-05-28,39.44
37,2016-06-18,16.48
38,2016-06-25,15.83
39,2016-06-21,38.839999999999996
40,2016-06-02,23.93
41,2016-06-15,18.52
42,2016-06-17,17.16
43,2016-06-05,28.95
