,date,fare,distance,duration,number of ride
0,2016-04-20,311.3400000000001,99522,12403,16
1,2016-04-29,187.26,51854,8030,7
2,2016-04-12,53.72,23113,2051,3
3,2016-03-31,74.35,36675,2835,4
4,2016-05-05,44.84,14076,1848,2
5,2016-03-29,31.34,5878,1202,2
6,2016-03-30,52.93,19882,2033,3
7,2016-04-25,16.93,3366,468,2
8,2016-05-03,44.36,18541,1791,2
9,2016-04-14,38.67,9049,1562,2
10,2016-04-01,79.22,41789,3444,2
11,2016-05-02,15.09,3350,568,1
12,2016-04-13,111.19,38786,4351,6
13,2016-04-11,20.49,4533,841,1
14,2016-04-19,42.0,22687,1834,1
15,2016-04-15,32.41,22485,1335,1
