,date,fare
0,2016-04-18,154.26999999999998
1,2016-06-10,13.0
2,2016-04-26,133.85
3,2016-06-15,236.98
4,2016-06-13,138.21
5,2016-04-29,225.39
6,2016-06-03,110.46000000000001
7,2016-04-25,197.63
8,2016-05-02,119.98
9,2016-04-27,94.34
10,2016-04-21,192.2
11,2016-06-23,305.50000000000006
12,2016-04-20,322.05
13,2016-04-28,259.36
14,2016-06-17,202.88
15,2016-04-19,328.21
16,2016-06-24,99.22
17,2016-06-20,22.68
18,2016-06-08,81.47
19,2016-06-22,85.64000000000001
20,2016-06-09,69.21
21,2016-06-21,30.33
22,2016-06-16,141.43
23,2016-04-22,207.69000000000003
24,2016-04-06,10.4
25,2016-06-06,41.41
26,2016-06-07,30.259999999999998
27,2016-06-02,12.2
28,2016-04-14,20.55
