,date,fare,distance,duration,number of ride
0,2016-05-01,285.78,119780,11317,14
1,2016-05-13,341.3,108337,13708,17
2,2016-04-21,328.01,170235,13552,12
3,2016-05-17,131.04999999999998,36315,5209,7
4,2016-05-14,329.76,135824,13106,16
5,2016-05-10,233.34,129135,9492,9
6,2016-05-26,76.31,30706,3371,2
7,2016-04-24,281.5800000000001,82111,10975,16
8,2016-05-22,174.29999999999998,51589,6965,9
9,2016-04-22,227.85999999999999,41794,9047,13
10,2016-05-05,518.85,123974,21490,24
11,2016-05-20,360.96,63434,15250,16
12,2016-05-06,216.97,48236,9019,10
13,2016-04-19,226.90999999999997,69221,9193,11
14,2016-05-15,400.67999999999995,110308,16597,18
15,2016-04-25,382.99,105489,16099,16
16,2016-04-28,523.8000000000001,129221,21320,26
17,2016-05-12,362.42,94717,14907,17
18,2016-04-29,216.72,80174,8779,10
19,2016-05-07,271.3999999999999,49479,10481,17
20,2016-05-21,112.73000000000002,32717,4670,5
21,2016-05-18,292.81,78589,12564,11
22,2016-04-30,110.67999999999999,22480,4440,6
23,2016-04-27,210.58,66657,8360,11
24,2016-05-11,246.13000000000002,70864,9793,13
25,2016-05-08,265.39,64275,10649,14
26,2016-05-16,244.81,65021,9765,13
27,2016-05-25,33.730000000000004,3316,1345,2
28,2016-05-27,35.26,9389,1381,2
29,2016-06-01,96.02000000000001,37962,3956,4
30,2016-04-26,420.8399999999999,133745,17286,19
31,2016-04-18,84.34,31257,3395,4
32,2016-05-24,116.20000000000002,50265,4726,5
33,2016-04-23,153.3,29843,6416,7
34,2016-04-20,253.64000000000001,92687,10225,12
35,2016-06-05,88.94,34940,3608,4
