,date,fare,distance,duration,number of ride
0,2016-04-26,118.50999999999999,24787,4832,6
1,2016-04-20,159.17,25841,7338,4
2,2016-04-27,145.0,25576,5818,8
3,2016-06-21,115.95,27700,4873,5
4,2016-06-03,51.25,10738,2206,2
5,2016-06-13,80.96000000000001,13187,2956,6
6,2016-05-23,206.87,54211,8254,11
7,2016-05-07,60.099999999999994,30338,2528,2
8,2016-04-28,112.24,46928,4738,4
9,2016-04-24,69.78999999999999,16521,2741,4
10,2016-04-21,56.46,9773,2485,2
11,2016-05-05,207.01,72990,8520,9
12,2016-06-02,210.88,69025,9141,7
13,2016-06-23,105.71000000000001,36558,4472,4
14,2016-04-18,246.68999999999997,74721,10577,9
15,2016-04-16,117.08999999999999,37672,4471,7
16,2016-05-04,213.67999999999998,48400,8260,13
17,2016-05-11,121.86000000000001,37224,4919,6
18,2016-04-19,58.39,9947,2584,2
19,2016-05-16,380.44,84158,15727,18
20,2016-05-14,211.15,57014,8458,11
21,2016-06-16,168.25,33228,7172,7
22,2016-05-27,136.25,37815,5861,5
23,2016-05-08,62.72,15395,2380,4
24,2016-06-20,183.99,41006,7546,9
25,2016-05-10,80.22,15594,3096,5
26,2016-04-30,119.17,26050,4858,6
27,2016-05-15,148.77,59015,5760,8
28,2016-05-24,234.61999999999998,74092,9757,10
29,2016-04-29,71.32,13228,3040,3
30,2016-04-23,84.03,13862,3503,4
31,2016-05-13,259.98,59135,10795,12
32,2016-05-09,118.09,25354,4807,6
33,2016-05-25,140.54,41913,5860,6
34,2016-05-03,117.47,52473,4776,5
35,2016-05-20,18.41,3041,743,1
36,2016-05-21,108.80999999999999,20601,5139,2
37,2016-05-06,139.96,29164,5920,6
38,2016-05-19,39.85,21910,1727,1
39,2016-06-25,144.44,29642,6151,6
40,2016-05-29,29.49,13151,1249,1
41,2016-06-17,20.21,4457,827,1
42,2016-06-22,102.67999999999999,17747,4448,4
43,2016-05-01,45.89,7172,1952,2
44,2016-06-14,80.79,17176,3310,4
45,2016-05-26,73.57,8029,3390,2
46,2016-05-31,51.42999999999999,9436,2029,3
47,2016-05-28,231.83,129180,10196,5
48,2016-05-02,178.60000000000002,95787,8048,3
49,2016-06-01,123.11000000000001,27741,5638,3
50,2016-05-12,60.89,22282,2627,2
51,2016-05-22,49.94,16453,2097,2
