,date,fare
0,2016-05-03,118.75999999999999
1,2016-05-29,261.11
2,2016-05-08,551.3399999999999
3,2016-05-20,354.69000000000005
4,2016-06-02,353.94000000000005
5,2016-05-05,335.8800000000001
6,2016-05-13,378.05
7,2016-04-22,447.4200000000001
8,2016-06-11,290.07
9,2016-06-12,164.14000000000001
10,2016-05-07,310.55
11,2016-05-19,350.44000000000005
12,2016-04-27,229.28
13,2016-05-12,386.41999999999996
14,2016-05-10,201.72
15,2016-05-18,209.3
16,2016-06-08,256.14
17,2016-06-10,303.61
18,2016-06-04,307.96000000000004
19,2016-05-01,452.65
20,2016-05-11,234.62999999999997
21,2016-06-01,318.17999999999995
22,2016-04-25,169.01999999999998
23,2016-04-21,495.22
24,2016-05-15,480.79999999999995
25,2016-05-22,236.08999999999997
26,2016-06-14,284.35
27,2016-05-09,107.69
28,2016-04-23,13.78
29,2016-04-26,206.43
30,2016-04-29,357.49
31,2016-05-14,440.95
32,2016-05-27,216.95
33,2016-04-30,376.20000000000005
34,2016-04-20,364.86
35,2016-05-02,324.53999999999996
36,2016-06-09,327.22999999999996
37,2016-05-06,346.21999999999997
38,2016-05-21,395.59000000000003
39,2016-04-28,165.59
40,2016-05-04,179.23
41,2016-04-19,191.73000000000002
42,2016-06-05,230.11
43,2016-06-03,261.15
44,2016-05-28,75.61
45,2016-05-26,243.95
46,2016-04-24,162.24
47,2016-05-24,39.45
48,2016-06-15,50.629999999999995
