,date,fare,distance,duration,number of ride
0,2016-04-29,160.66000000000003,34652,6570,8
1,2016-06-07,133.59,37325,5139,8
2,2016-06-05,188.57999999999998,61771,7246,11
3,2016-05-22,457.8900000000001,242390,18444,19
4,2016-05-16,151.18,35734,6263,7
5,2016-05-05,127.78,34551,5050,7
6,2016-06-26,274.18,66770,11285,13
7,2016-05-13,267.35,60476,10778,14
8,2016-05-09,172.26,41330,6736,10
9,2016-06-11,145.18,72850,6077,5
10,2016-06-21,46.31,11645,1746,3
11,2016-06-25,116.94,31980,4112,9
12,2016-04-25,169.55999999999997,65110,6818,8
13,2016-05-10,183.66,48123,7283,10
14,2016-05-15,317.12,156357,12887,13
15,2016-05-17,109.05,30461,4298,6
16,2016-05-12,188.1,38097,7390,11
17,2016-05-21,275.30999999999995,72109,11892,10
18,2016-05-11,156.62,72901,6674,5
19,2016-04-27,203.70000000000002,45160,8349,10
20,2016-04-28,229.67999999999998,54119,9054,13
21,2016-05-07,61.77,20867,2487,3
22,2016-04-30,72.69000000000001,22404,2850,4
23,2016-04-23,291.44,98102,11572,15
24,2016-06-06,106.58000000000001,33412,3953,7
25,2016-04-22,104.4,52188,4097,5
26,2016-06-04,144.33,68698,5866,6
27,2016-04-24,87.92999999999999,32718,3376,5
28,2016-06-12,88.86,46874,3715,3
29,2016-05-14,141.98,77866,5679,6
30,2016-05-08,138.87,51269,5706,6
31,2016-05-06,102.33,26443,4172,5
32,2016-06-22,77.47,63214,3200,2
