,date,fare,distance,duration,number of ride
0,2016-06-02,59.73,29914,2120,4
1,2016-05-14,153.72,46653,5926,9
2,2016-04-18,113.06,18207,4595,6
3,2016-04-21,226.53000000000003,65913,9393,10
4,2016-04-27,26.990000000000002,5869,975,2
5,2016-05-28,65.87,10864,2381,5
6,2016-06-08,36.379999999999995,9338,1440,2
7,2016-06-25,151.87,30010,6144,8
8,2016-04-13,215.89,87922,8680,10
9,2016-04-16,213.64000000000001,65898,8916,9
10,2016-05-05,213.64,77674,8440,11
11,2016-06-22,77.94,40797,2797,5
12,2016-05-27,148.52,49364,5636,9
13,2016-05-17,28.240000000000002,6887,1033,2
14,2016-04-28,58.86,18884,2154,4
15,2016-04-30,136.57,57257,5739,5
16,2016-05-18,41.769999999999996,15840,1675,2
17,2016-04-14,198.4,77632,7449,12
18,2016-05-02,154.07999999999998,47565,5939,9
19,2016-05-16,169.34,71435,6369,10
20,2016-05-15,417.61000000000007,188647,17116,17
21,2016-04-17,328.26000000000005,78855,13434,16
22,2016-06-03,114.17999999999999,46032,4456,6
23,2016-06-01,160.72,60257,5999,10
24,2016-04-23,137.02,28953,5573,7
25,2016-04-15,182.21000000000004,31960,7322,10
26,2016-05-01,95.72999999999999,30884,3796,5
27,2016-04-29,180.75,52389,7492,8
28,2016-06-23,51.260000000000005,9798,2018,3
29,2016-05-30,84.15,37397,3341,4
30,2016-05-04,67.44,18504,2408,5
31,2016-05-07,145.89,42303,5549,9
32,2016-06-26,65.13,23325,2449,4
33,2016-05-06,25.270000000000003,5574,887,2
34,2016-05-22,18.14,10758,674,1
35,2016-05-08,64.49000000000001,12883,2295,5
36,2016-05-20,37.94,23471,1421,2
37,2016-05-21,52.02000000000001,12333,2039,3
38,2016-05-29,175.68,40619,6528,12
39,2016-05-26,37.620000000000005,10285,1498,2
40,2016-05-31,12.38,875,444,1
41,2016-05-03,44.209999999999994,14812,1614,3
42,2016-06-19,13.85,5075,491,1
